species,leaves_b1,leaves_b0,branches_b1,branches_b0,stem_b1,stem_b0,stumproot_b0,stumproot_b1
AB,1.915755,-1.425206,2.363409,-0.6378431,2.299741,1.046266,-0.04815769,2.252246
BF,2.450614,-1.645233,2.460493,-2.20596,2.411658,0.3487042,-0.797712,2.45149
RM,1.832173,-1.195522,2.205549,-0.9564566,2.489847,0.5683678,-0.3447348,2.33344
RS,2.138061,-0.7980554,2.338385,-1.351318,2.374645,0.3960433,-0.5300824,2.326303
SM,1.890057,-1.560981,2.551493,-1.397107,2.289422,1.10715,-0.08274315,2.263693
StM,1.890057,-1.560981,2.551493,-1.397107,2.289422,1.10715,-0.08274315,2.263693
YB,1.978348,-1.533715,2.379461,-0.8257923,2.34119,0.7512302,-0.2962967,2.32227
