skip,sample_number,material,amount_mg,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file,13C (at-%),15N (at-%)
,6216,herbaceous plant,4.15,-32.67,1789.62,,395.5,39.04,,BBWM HERB2,B1,"13C, 15N",yes,,654788,107762,Spencer BBWM-Herb2 0114,,
,6217,herbaceous plant,4.09,-33.29,1710.29,,264.69,40.93,,BBWM HERB2,B2,"13C, 15N",yes,,654789,107763,Spencer BBWM-Herb2 0114,,
,6218,herbaceous plant,4.03,-31.93,1900.64,,244.3,57.48,,BBWM HERB2,B3,"13C, 15N",yes,,654790,107764,Spencer BBWM-Herb2 0114,,
,6219,herbaceous plant,3.93,-32.89,1932.35,,420.75,44.43,,BBWM HERB2,B4,"13C, 15N",yes,,654791,107765,Spencer BBWM-Herb2 0114,,
,6220,herbaceous plant,4.1,-31.81,1884.78,,302.21,38.5,,BBWM HERB2,B5,"13C, 15N",yes,,654792,107766,Spencer BBWM-Herb2 0114,,
,6224,herbaceous plant,4.14,-31.93,1837.21,,383.41,36.88,,BBWM HERB2,B6,"13C, 15N",yes,,654793,107767,Spencer BBWM-Herb2 0114,,
,6225,herbaceous plant,4.11,-31.65,1995.75,,452.64,38.86,,BBWM HERB2,B7,"13C, 15N",yes,,654794,107768,Spencer BBWM-Herb2 0114,,
,6226,herbaceous plant,3.97,-32.66,1853.07,,572.97,35.88,,BBWM HERB2,B8,"13C, 15N",yes,,654795,107769,Spencer BBWM-Herb2 0114,,
,6227,herbaceous plant,4.23,-33.63,1630.92,,344.36,39.13,,BBWM HERB2,B9,"13C, 15N",yes,,654796,107770,Spencer BBWM-Herb2 0114,,
,6228,herbaceous plant,4.02,-33.54,1565.82,,208.78,70.06,,BBWM HERB2,B10,"13C, 15N",yes,,654797,107771,Spencer BBWM-Herb2 0114,,
,6230,herbaceous plant,4.17,-32.67,1773.76,,371.79,46.23,,BBWM HERB2,B11,"13C, 15N",yes,,654798,107772,Spencer BBWM-Herb2 0114,,
,6231,herbaceous plant,4.23,-30.79,2233.31,,117.79,40.57,,BBWM HERB2,B12,"13C, 15N",yes,,654799,107773,Spencer BBWM-Herb2 0114,,
,6232,herbaceous plant,3.96,-31.92,1884.78,,86.66,39.76,,BBWM HERB2,C1,"13C, 15N",yes,,654800,107776,Spencer BBWM-Herb2 0114,,
,6237,herbaceous plant,4.03,-32.53,1964.05,,110.82,43.54,,BBWM HERB2,C2,"13C, 15N",yes,,654801,107777,Spencer BBWM-Herb2 0114,,
,6248,herbaceous plant,4.27,-32.23,1948.2,,122.54,45.06,,BBWM HERB2,C3,"13C, 15N",yes,,654802,107778,Spencer BBWM-Herb2 0114,,
,6254,herbaceous plant,4.22,-32.19,2106.64,,168.27,41.65,,BBWM HERB2,C4,"13C, 15N",yes,,654803,107779,Spencer BBWM-Herb2 0114,,
,6254,herbaceous plant,3.98,-32.46,1805.49,,69.59,42.19,,BBWM HERB2,C5,"13C, 15N",yes,,654804,107780,Spencer BBWM-Herb2 0114,,
,6255,herbaceous plant,4.14,-32.23,2106.64,,103.87,47.75,,BBWM HERB2,C6,"13C, 15N",yes,,654805,107781,Spencer BBWM-Herb2 0114,,
,6260,herbaceous plant,4.08,-30.92,1757.89,,130.87,46.05,,BBWM HERB2,C7,"13C, 15N",yes,,654806,107782,Spencer BBWM-Herb2 0114,,
,6261,herbaceous plant,4.11,-31.7,1789.62,,238.53,40.12,,BBWM HERB2,C8,"13C, 15N",yes,,654807,107783,Spencer BBWM-Herb2 0114,,
,6262,herbaceous plant,3.96,-27.26,1757.89,,74.36,55.17,,BBWM HERB2,C9,"13C, 15N",yes,,654808,107784,Spencer BBWM-Herb2 0114,,
,6263,herbaceous plant,4.14,-32.5,2043.28,,204.42,58.19,,BBWM HERB2,C10,"13C, 15N",yes,,654809,107785,Spencer BBWM-Herb2 0114,,
,6264,herbaceous plant,4.22,-29.94,1916.49,,72.54,99.75,,BBWM HERB2,C11,"13C, 15N",yes,,654810,107786,Spencer BBWM-Herb2 0114,,
,6265,herbaceous plant,4.08,-30.61,1900.64,,114.99,44.34,,BBWM HERB2,C12,"13C, 15N",yes,,654811,107787,Spencer BBWM-Herb2 0114,,
,6266,herbaceous plant,4.24,-33.22,1853.07,,250.46,54.45,,BBWM HERB2,D1,"13C, 15N",yes,,654812,107791,Spencer BBWM-Herb2 0114,,
,6267,herbaceous plant,4.15,-30.61,1773.76,,89.6,106.65,,BBWM HERB2,D2,"13C, 15N",yes,,654813,107792,Spencer BBWM-Herb2 0114,,
,6272,herbaceous plant,4.13,-31.55,1916.49,,112.52,106.65,,BBWM HERB2,D3,"13C, 15N",yes,,654814,107793,Spencer BBWM-Herb2 0114,,
,6274,herbaceous plant,3.92,-30.85,2043.28,,51.62,43.81,,BBWM HERB2,D4,"13C, 15N",yes,,654815,107794,Spencer BBWM-Herb2 0114,,
,6278,herbaceous plant,3.96,-30.07,1789.62,,89.98,98.89,,BBWM HERB2,D5,"13C, 15N",yes,,654816,107795,Spencer BBWM-Herb2 0114,,
,6279,herbaceous plant,4.17,-29.75,2027.44,,60.12,63.34,,BBWM HERB2,D6,"13C, 15N",yes,,654817,107796,Spencer BBWM-Herb2 0114,,
,6281,herbaceous plant,3.95,-31.09,1742.03,,143.64,69.62,,BBWM HERB2,D7,"13C, 15N",yes,,654818,107797,Spencer BBWM-Herb2 0114,,
,6284,herbaceous plant,4.23,-30.3,1868.93,,117.51,96.29,,BBWM HERB2,D8,"13C, 15N",yes,,654819,107798,Spencer BBWM-Herb2 0114,,
,6285,herbaceous plant,4.06,-32.05,1853.07,,33.32,97.15,,BBWM HERB2,D9,"13C, 15N",yes,,654820,107799,Spencer BBWM-Herb2 0114,,
,6286,herbaceous plant,4.29,-30.31,1884.78,,173.62,51.24,,BBWM HERB2,D10,"13C, 15N",yes,,654821,107800,Spencer BBWM-Herb2 0114,,
,6287,herbaceous plant,4.13,-30.78,2027.44,,251.51,69.88,,BBWM HERB2,D11,"13C, 15N",yes,,654822,107801,Spencer BBWM-Herb2 0114,,
,6288,herbaceous plant,4.01,-31.96,1900.64,,209.25,57.3,,BBWM HERB2,D12,"13C, 15N",yes,,654823,107802,Spencer BBWM-Herb2 0114,,
,6289,herbaceous plant,4,-32.44,1773.76,,178.89,98.02,,BBWM HERB2,E1,"13C, 15N",yes,,654824,107809,Spencer BBWM-Herb2 0114,,
,6290,herbaceous plant,3.99,-31.19,1995.75,,125.65,36.79,,BBWM HERB2,E2,"13C, 15N",yes,,654825,107810,Spencer BBWM-Herb2 0114,,
,6291,herbaceous plant,4.13,-32.33,1821.35,,181.63,70.24,,BBWM HERB2,E3,"13C, 15N",yes,,654826,107811,Spencer BBWM-Herb2 0114,,
,6292,herbaceous plant,3.94,-32.1,1757.89,,83.39,36.79,,BBWM HERB2,E4,"13C, 15N",yes,,654827,107812,Spencer BBWM-Herb2 0114,,
,6293,herbaceous plant,4.06,-31.6,1995.75,,257.2,121.19,,BBWM HERB2,E5,"13C, 15N",yes,,654828,107813,Spencer BBWM-Herb2 0114,,
,6295,herbaceous plant,4.03,-32.96,1948.2,,150.96,45.15,,BBWM HERB2,E6,"13C, 15N",yes,,654829,107814,Spencer BBWM-Herb2 0114,,
,6296,herbaceous plant,4.15,-31.5,2169.99,,162.54,38.23,,BBWM HERB2,E7,"13C, 15N",yes,,654830,107815,Spencer BBWM-Herb2 0114,,
,6302,herbaceous plant,4,-31.89,2027.44,,66.32,37.69,,BBWM HERB2,E8,"13C, 15N",yes,,654831,107816,Spencer BBWM-Herb2 0114,,
,6307,herbaceous plant,3.91,-30.66,1868.93,,102.9,33.17,,BBWM HERB2,E9,"13C, 15N",yes,,654832,107817,Spencer BBWM-Herb2 0114,,
,6308,herbaceous plant,3.96,-32.11,2027.44,,120.46,56.23,,BBWM HERB2,E10,"13C, 15N",yes,,654833,107818,Spencer BBWM-Herb2 0114,,
,6314,herbaceous plant,4.26,-32.51,2201.65,,127.98,72.53,,BBWM HERB2,E11,"13C, 15N",yes,,654834,107819,Spencer BBWM-Herb2 0114,,
,6319,herbaceous plant,4.06,-32.01,1964.05,,107.12,67.06,,BBWM HERB2,E12,"13C, 15N",yes,,654835,107820,Spencer BBWM-Herb2 0114,,
,6401,herbaceous plant,4.04,-30.05,1611.91,,96.74,60.64,,BBWM HERB3,A1,"13C, 15N",yes,,759913,241451,Spencer BBWM-Herb3 1014,,0.4016
,6402,herbaceous plant,4.09,-31.82,1787.44,,612.7,69.01,,BBWM HERB3,A2,"13C, 15N",yes,,759914,241452,Spencer BBWM-Herb3 1014,,0.58941
,6403,herbaceous plant,4.03,-32.43,1776.58,,302.68,77.91,,BBWM HERB3,A3,"13C, 15N",yes,,759915,241453,Spencer BBWM-Herb3 1014,,0.47665
,6404,herbaceous plant,4.03,-32.3,1841.51,Contains more carbon than largest standard,57.63,90.47,,BBWM HERB3,A4,"13C, 15N",yes,,759916,241454,Spencer BBWM-Herb3 1014,,0.38733
,6405,herbaceous plant,4.02,-31.48,1611.91,,72.93,59.47,,BBWM HERB3,A5,"13C, 15N",yes,,759917,241455,Spencer BBWM-Herb3 1014,,0.39291
,6406,herbaceous plant,4.34,-30.62,1959.16,Contains more carbon than largest standard,82.14,74.05,,BBWM HERB3,D7,"13C, 15N",yes,,759955,241501,Spencer BBWM-Herb3 1014,,0.39627
,6407,herbaceous plant,4.22,-30.54,2033.09,Contains more carbon than largest standard,58.1,87.41,,BBWM HERB3,A6,"13C, 15N",yes,,759918,241456,Spencer BBWM-Herb3 1014,,0.3875
,6408,herbaceous plant,4.05,-31.01,1895.21,Contains more carbon than largest standard,98.18,85.98,,BBWM HERB3,D8,"13C, 15N",yes,,759956,241502,Spencer BBWM-Herb3 1014,,0.40212
,6409,herbaceous plant,4,-32.3,1916.59,Contains more carbon than largest standard,48.34,79.35,,BBWM HERB3,A7,"13C, 15N",yes,,759919,241457,Spencer BBWM-Herb3 1014,,0.38394
,6410,herbaceous plant,4.12,-31.34,2022.57,Contains more carbon than largest standard,318.11,62.89,,BBWM HERB3,D9,"13C, 15N",yes,,759957,241503,Spencer BBWM-Herb3 1014,,0.48227
,6411,herbaceous plant,4.27,-29.07,1841.51,Contains more carbon than largest standard,112.79,71.82,,BBWM HERB3,D10,"13C, 15N",yes,,759958,241504,Spencer BBWM-Herb3 1014,,0.40745
,6412,herbaceous plant,3.99,-32.25,1959.16,Contains more carbon than largest standard,435.62,69.2,,BBWM HERB3,A8,"13C, 15N",yes,,759920,241458,Spencer BBWM-Herb3 1014,,0.52503
,6413,herbaceous plant,4.09,-31.73,1948.54,Contains more carbon than largest standard,39.13,87.99,,BBWM HERB3,A9,"13C, 15N",yes,,759921,241459,Spencer BBWM-Herb3 1014,,0.38058
,6414,herbaceous plant,4.15,-31.39,1937.9,Contains more carbon than largest standard,198.49,65.12,,BBWM HERB3,A10,"13C, 15N",yes,,759922,241460,Spencer BBWM-Herb3 1014,,0.43869
,6415,herbaceous plant,4.13,-32.97,1722.06,,129,78.97,,BBWM HERB3,D11,"13C, 15N",yes,,759959,241505,Spencer BBWM-Herb3 1014,,0.41336
,6416,herbaceous plant,4.39,-31.66,2001.5,Contains more carbon than largest standard,183.29,89.71,,BBWM HERB3,A11,"13C, 15N",yes,,759923,241461,Spencer BBWM-Herb3 1014,,0.43315
,6417,herbaceous plant,3.99,-31.97,1937.9,Contains more carbon than largest standard,59.14,79.83,,BBWM HERB3,A12,"13C, 15N",yes,,759924,241462,Spencer BBWM-Herb3 1014,,0.38788
,6418,herbaceous plant,4.05,-30.53,1776.58,,111.73,96.75,,BBWM HERB3,B1,"13C, 15N",yes,,759925,241466,Spencer BBWM-Herb3 1014,,0.40706
,6419,herbaceous plant,4.01,-31.18,1819.93,,114,78.48,,BBWM HERB3,B2,"13C, 15N",yes,,759926,241467,Spencer BBWM-Herb3 1014,,0.40789
,6420,herbaceous plant,3.96,-31.25,1895.21,Contains more carbon than largest standard,158.35,60.15,,BBWM HERB3,B3,"13C, 15N",yes,,759927,241468,Spencer BBWM-Herb3 1014,,0.42406
,6421,herbaceous plant,4.11,-32.02,1841.51,Contains more carbon than largest standard,53.9,65.22,,BBWM HERB3,B4,"13C, 15N",yes,,759928,241469,Spencer BBWM-Herb3 1014,,0.38597
,6422,herbaceous plant,3.98,-32.1,1830.73,Contains more carbon than largest standard,44.27,80.22,,BBWM HERB3,B5,"13C, 15N",yes,,759929,241470,Spencer BBWM-Herb3 1014,,0.38246
,6423,herbaceous plant,4.36,-30.41,2022.57,Contains more carbon than largest standard,152.8,70.76,,BBWM HERB3,B6,"13C, 15N",yes,,759930,241471,Spencer BBWM-Herb3 1014,,0.42204
,6424,herbaceous plant,4.11,-32.09,1927.25,Contains more carbon than largest standard,109.89,76.46,,BBWM HERB3,B7,"13C, 15N",yes,,759931,241472,Spencer BBWM-Herb3 1014,,0.40639
,6425,herbaceous plant,4.23,-31.47,2033.09,Contains more carbon than largest standard,101.57,78.29,,BBWM HERB3,D12,"13C, 15N",yes,,759960,241506,Spencer BBWM-Herb3 1014,,0.40336
,6426,herbaceous plant,3.97,-29.64,1873.77,Contains more carbon than largest standard,122.82,69.3,,BBWM HERB3,B8,"13C, 15N",yes,,759932,241473,Spencer BBWM-Herb3 1014,,0.41111
,6427,herbaceous plant,4.01,-31.92,1863.03,Contains more carbon than largest standard,108.13,79.54,,BBWM HERB3,B9,"13C, 15N",yes,,759933,241474,Spencer BBWM-Herb3 1014,,0.40575
,6428,herbaceous plant,3.99,-31.19,1937.9,Contains more carbon than largest standard,281.63,64.83,,BBWM HERB3,B10,"13C, 15N",yes,,759934,241475,Spencer BBWM-Herb3 1014,,0.46898
,6429,herbaceous plant,4.08,-30.51,1776.58,,133.32,65.32,,BBWM HERB3,B11,"13C, 15N",yes,,759935,241476,Spencer BBWM-Herb3 1014,,0.41494
,6430,herbaceous plant,3.99,-32.25,1819.93,,132.94,71.34,,BBWM HERB3,B12,"13C, 15N",yes,,759936,241477,Spencer BBWM-Herb3 1014,,0.4148
,6431,herbaceous plant,4.18,,2116.69,Too large - total C given as estimate only,74.59,41.87,,BBWM HERB3,C1,"13C, 15N",yes,,759937,241480,Spencer BBWM-Herb3 1014,,0.39352
,6431,Herbaceous Sample,3.91,-31.59,1986.19,,,,,BBWM HERB 3 RE,A1,13C,yes,,773564,8039,Spencer BBWM-Herb3RE 1114,1.07651,
,6432,herbaceous plant,4.06,-30.95,2043.59,Contains more carbon than largest standard,24.43,46.51,,BBWM HERB3,C2,"13C, 15N",yes,,759938,241481,Spencer BBWM-Herb3 1014,,0.37522
,6437,herbaceous plant,4.13,-32.58,2043.59,Contains more carbon than largest standard,153.28,47.89,,BBWM HERB3,C3,"13C, 15N",yes,,759939,241482,Spencer BBWM-Herb3 1014,,0.42221
,6438,herbaceous plant,3.96,-30.42,1809.11,,34.27,63.96,,BBWM HERB3,E1,"13C, 15N",yes,,759961,241513,Spencer BBWM-Herb3 1014,,0.37881
,6439,herbaceous plant,3.94,-31.95,1863.03,Contains more carbon than largest standard,118.82,39,,BBWM HERB3,E2,"13C, 15N",yes,,759962,241514,Spencer BBWM-Herb3 1014,,0.40965
,6440,herbaceous plant,4,-31.91,1830.73,Contains more carbon than largest standard,144.91,76.85,,BBWM HERB3,E3,"13C, 15N",yes,,759963,241515,Spencer BBWM-Herb3 1014,,0.41916
,6442,herbaceous plant,3.94,-30.98,1830.73,Contains more carbon than largest standard,-0.58,88.75,,BBWM HERB3,C4,"13C, 15N",yes,,759940,241483,Spencer BBWM-Herb3 1014,,0.36609
,6448,herbaceous plant,4.12,,2095.88,Too large - total C given as estimate only,85.11,50.55,,BBWM HERB3,C5,"13C, 15N",yes,,759941,241484,Spencer BBWM-Herb3 1014,,0.39735
,6448,Herbaceous Sample,3.99,-31.99,2007.69,,,,,BBWM HERB 3 RE,A2,13C,yes,,773565,8040,Spencer BBWM-Herb3RE 1114,1.07607,
,6449,herbaceous plant,4.03,-32.44,1948.54,Contains more carbon than largest standard,88.8,37.41,,BBWM HERB3,E4,"13C, 15N",yes,,759964,241516,Spencer BBWM-Herb3 1014,,0.3987
,6450,herbaceous plant,4.13,-32.02,1895.21,Contains more carbon than largest standard,55.3,81.08,,BBWM HERB3,E5,"13C, 15N",yes,,759965,241517,Spencer BBWM-Herb3 1014,,0.38648
,6454,herbaceous plant,4.34,,2127.07,Too large - total C given as estimate only,12.7,51.24,,BBWM HERB3,E6,"13C, 15N",yes,,759966,241518,Spencer BBWM-Herb3 1014,,0.37094
,6454,Herbaceous Sample,4,-31.84,1862.18,,,,,BBWM HERB 3 RE,A5,13C,yes,,773568,8043,Spencer BBWM-Herb3RE 1114,1.07624,
,6455,herbaceous plant,4.33,-32.58,1863.03,Contains more carbon than largest standard,84.19,39.69,,BBWM HERB3,C6,"13C, 15N",yes,,759942,241485,Spencer BBWM-Herb3 1014,,0.39702
,6456,herbaceous plant,4.22,-31.79,1927.25,Contains more carbon than largest standard,87.81,80.22,,BBWM HERB3,E7,"13C, 15N",yes,,759967,241519,Spencer BBWM-Herb3 1014,,0.39834
,6461,herbaceous plant,3.99,-29.23,1863.03,Contains more carbon than largest standard,53.47,110.92,,BBWM HERB3,C7,"13C, 15N",yes,,759943,241486,Spencer BBWM-Herb3 1014,,0.38581
,6462,herbaceous plant,4.01,-30.24,1873.77,Contains more carbon than largest standard,160.05,82.62,,BBWM HERB3,C8,"13C, 15N",yes,,759944,241487,Spencer BBWM-Herb3 1014,,0.42468
,6463,herbaceous plant,4.02,-29.5,1819.93,,140.09,93.52,,BBWM HERB3,E8,"13C, 15N",yes,,759968,241520,Spencer BBWM-Herb3 1014,,0.41741
,6464,herbaceous plant,4.12,-30.76,1937.9,Contains more carbon than largest standard,42.03,56.93,,BBWM HERB3,E9,"13C, 15N",yes,,759969,241521,Spencer BBWM-Herb3 1014,,0.38164
,6465,herbaceous plant,4.26,-32.92,1895.21,Contains more carbon than largest standard,53.85,109.98,,BBWM HERB3,C9,"13C, 15N",yes,,759945,241488,Spencer BBWM-Herb3 1014,,0.38595
,6466,herbaceous plant,4.1,-31.85,1689.17,,38.23,78,,BBWM HERB3,E10,"13C, 15N",yes,,759970,241522,Spencer BBWM-Herb3 1014,,0.38025
,6467,herbaceous plant,4,-31.34,1895.21,Contains more carbon than largest standard,23.38,95.33,,BBWM HERB3,C10,"13C, 15N",yes,,759946,241489,Spencer BBWM-Herb3 1014,,0.37484
,6468,herbaceous plant,4.42,-29.16,1980.36,Contains more carbon than largest standard,52.52,93.62,,BBWM HERB3,C11,"13C, 15N",yes,,759947,241490,Spencer BBWM-Herb3 1014,,0.38547
,6469,herbaceous plant,4.3,,2085.45,Too large - total C given as estimate only,93.34,78.87,,BBWM HERB3,C12,"13C, 15N",yes,,759948,241491,Spencer BBWM-Herb3 1014,,0.40036
,6469,Herbaceous Sample,3.92,-30.55,1821.82,,,,,BBWM HERB 3 RE,A3,13C,yes,,773566,8041,Spencer BBWM-Herb3RE 1114,1.07765,
,6470,herbaceous plant,4.23,-30.36,2064.55,Contains more carbon than largest standard,101.5,40.39,,BBWM HERB3,E11,"13C, 15N",yes,,759971,241523,Spencer BBWM-Herb3 1014,,0.40333
,6472,herbaceous plant,4.37,,2116.69,Too large - total C given as estimate only,16.04,96.56,,BBWM HERB3,D1,"13C, 15N",yes,,759949,241495,Spencer BBWM-Herb3 1014,,0.37216
,6472,Herbaceous Sample,3.87,-29.86,1870.69,,,,,BBWM HERB 3 RE,A4,13C,yes,,773567,8042,Spencer BBWM-Herb3RE 1114,1.07841,
,6473,herbaceous plant,4.1,-29.92,1948.54,Contains more carbon than largest standard,71.06,100.55,,BBWM HERB3,D2,"13C, 15N",yes,,759950,241496,Spencer BBWM-Herb3 1014,,0.39223
,6474,herbaceous plant,4.08,-30.08,1884.5,Contains more carbon than largest standard,66.93,103.39,,BBWM HERB3,E12,"13C, 15N",yes,,759972,241524,Spencer BBWM-Herb3 1014,,0.39072
,6475,herbaceous plant,4.34,-29.4,1863.03,Contains more carbon than largest standard,55.91,85.59,,BBWM HERB3,D3,"13C, 15N",yes,,759951,241497,Spencer BBWM-Herb3 1014,,0.3867
,6476,herbaceous plant,4.04,-31.49,2054.08,Contains more carbon than largest standard,114.96,47.89,,BBWM HERB3,D4,"13C, 15N",yes,,759952,241498,Spencer BBWM-Herb3 1014,,0.40824
,6478,herbaceous plant,4.21,-30.58,1765.7,,144.89,76.75,,BBWM HERB3,D5,"13C, 15N",yes,,759953,241499,Spencer BBWM-Herb3 1014,,0.41915
,6479,herbaceous plant,3.94,-32.77,1711.11,,59.54,119.35,,BBWM HERB3,D6,"13C, 15N",yes,,759954,241500,Spencer BBWM-Herb3 1014,,0.38803
,6480,herbaceous plant,4.36,-30,1895.21,Contains more carbon than largest standard,50.42,77.81,,BBWM HERB3,F1,"13C, 15N",yes,,759973,241528,Spencer BBWM-Herb3 1014,,0.3847
,6481,herbaceous plant,3.96,-28.73,1765.7,,31.54,93.14,,BBWM HERB3,F2,"13C, 15N",yes,,759974,241529,Spencer BBWM-Herb3 1014,,0.37781
,6482,herbaceous plant,3.93,-30.61,1873.77,Contains more carbon than largest standard,24.78,82.81,,BBWM HERB3,F3,"13C, 15N",yes,,759975,241530,Spencer BBWM-Herb3 1014,,0.37535
,6484,herbaceous plant,4.18,-30.85,2001.5,Contains more carbon than largest standard,28.86,90.76,,BBWM HERB3,F4,"13C, 15N",yes,,759976,241531,Spencer BBWM-Herb3 1014,,0.37683
,6485,herbaceous plant,4.28,,2064.55,Too large - total C given as estimate only,84.66,86.65,,BBWM HERB3,F5,"13C, 15N",yes,,759977,241532,Spencer BBWM-Herb3 1014,,0.39719
,6485,Herbaceous Sample,3.9,-30.39,1754.16,,,,,BBWM HERB 3 RE,A6,13C,yes,,773569,8044,Spencer BBWM-Herb3RE 1114,1.07783,
,6486,herbaceous plant,4.03,-29.77,1819.93,,61.19,72.4,,BBWM HERB3,F6,"13C, 15N",yes,,759978,241533,Spencer BBWM-Herb3 1014,,0.38863
,6487,herbaceous plant,4.02,-30.55,1884.5,Contains more carbon than largest standard,37.82,80.31,,BBWM HERB3,F7,"13C, 15N",yes,,759979,241534,Spencer BBWM-Herb3 1014,,0.3801
,6488,herbaceous plant,3.99,-31.81,1798.28,,68.6,95.42,,BBWM HERB3,F8,"13C, 15N",yes,,759980,241535,Spencer BBWM-Herb3 1014,,0.39133
