skip,sample_number,material,amount_mg,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file,13C (at-%),15N (at-%)
,6011,herbaceous plant,4.03,-32.53,1888.99,,1040.48,43.96,,BBWM HERB1,A1,"13C, 15N",yes,,503822,52433,BBWM Herb 1 results,,
,6013,herbaceous plant,4.13,-32.58,2009.31,,905.11,42.58,,BBWM HERB1,A2,"13C, 15N",yes,,503823,52434,BBWM Herb 1 results,,
,6026,herbaceous plant,4.02,-33.46,1934.4,,1314.1,49.4,,BBWM HERB1,A3,"13C, 15N",yes,,503824,52435,BBWM Herb 1 results,,
,6028,herbaceous plant,4.15,-32.94,1993.42,,723.34,43.79,,BBWM HERB1,A4,"13C, 15N",yes,,503825,52436,BBWM Herb 1 results,,
,6028,herbaceous plant,4.04,-32.34,1986.61,,329.74,39.99,,BBWM HERB1,B3,"13C, 15N",yes,,503836,52450,BBWM Herb 1 results,,
,6037,herbaceous plant,4.03,-32.34,1943.48,,1097.23,44.05,,BBWM HERB1,A5,"13C, 15N",yes,,503826,52437,BBWM Herb 1 results,,
,6038,herbaceous plant,4.08,-33.7,1929.86,,1386.48,44.22,,BBWM HERB1,A6,"13C, 15N",yes,,503827,52438,BBWM Herb 1 results,,
,6045,herbaceous plant,3.95,-32.01,2068.31,,296.3,43.36,,BBWM HERB1,A7,"13C, 15N",yes,,503828,52439,BBWM Herb 1 results,,
,6055,herbaceous plant,3.93,-30.85,2190.81,,157.3,44.57,,BBWM HERB1,A9,"13C, 15N",yes,,503830,52441,BBWM Herb 1 results,,
,6056,herbaceous plant,3.91,-31.78,2149.98,,229.94,47.76,,BBWM HERB1,A10,"13C, 15N",yes,,503831,52442,BBWM Herb 1 results,,
,6062,herbaceous plant,4.13,-31.68,2020.65,,834.51,54.82,,BBWM HERB1,A11,"13C, 15N",yes,,503832,52443,BBWM Herb 1 results,,
,6065,herbaceous plant,4.05,-31.46,2165.86,,547.34,61.02,,BBWM HERB1,A12,"13C, 15N",yes,,503833,52444,BBWM Herb 1 results,,
,6072,herbaceous plant,3.99,-30.48,2072.85,,258.27,99.98,,BBWM HERB1,B1,"13C, 15N",yes,,503834,52448,BBWM Herb 1 results,,
,6076,herbaceous plant,4.13,-31.7,2211.22,,690.51,78.44,,BBWM HERB1,B2,"13C, 15N",yes,,503835,52449,BBWM Herb 1 results,,
,6080,herbaceous plant,4.1,-31.94,2202.15,,280.15,47.15,,BBWM HERB1,A8,"13C, 15N",yes,,503829,52440,BBWM Herb 1 results,,
,6092,herbaceous plant,4.11,-31.74,2091,,180.98,45.34,,BBWM HERB1,B4,"13C, 15N",yes,,503837,52451,BBWM Herb 1 results,,
,6098,herbaceous plant,4.04,-31.87,2063.77,,169.45,36.53,,BBWM HERB1,B5,"13C, 15N",yes,,503838,52452,BBWM Herb 1 results,,
,6102,herbaceous plant,3.99,-31.92,1952.56,,167.47,34.29,,BBWM HERB1,B6,"13C, 15N",yes,,503839,52453,BBWM Herb 1 results,,
,6201,herbaceous plant,3.97,-32.61,1884.78,,610.97,42.01,,BBWM HERB2,A1,"13C, 15N",yes,,654776,107747,Spencer BBWM-Herb2 0114,,
,6202,herbaceous plant,4.15,-32.42,1995.75,,243.9,92.82,,BBWM HERB2,A2,"13C, 15N",yes,,654777,107748,Spencer BBWM-Herb2 0114,,
,6204,herbaceous plant,3.95,-31.63,1916.49,,268.95,41.29,,BBWM HERB2,A3,"13C, 15N",yes,,654778,107749,Spencer BBWM-Herb2 0114,,
,6205,herbaceous plant,4.08,-32.83,1979.9,,435.94,37.33,,BBWM HERB2,A4,"13C, 15N",yes,,654779,107750,Spencer BBWM-Herb2 0114,,
,6206,herbaceous plant,4.13,-32.09,1995.75,,416.93,45.6,,BBWM HERB2,A5,"13C, 15N",yes,,654780,107751,Spencer BBWM-Herb2 0114,,
,6207,herbaceous plant,4.05,-32.34,1821.35,,157.09,75.26,,BBWM HERB2,A6,"13C, 15N",yes,,654781,107752,Spencer BBWM-Herb2 0114,,
,6208,herbaceous plant,4.04,-32.72,1900.64,,175.44,83.93,,BBWM HERB2,A7,"13C, 15N",yes,,654782,107753,Spencer BBWM-Herb2 0114,,
,6210,herbaceous plant,4.23,-32.68,2059.12,,468.66,45.69,,BBWM HERB2,A8,"13C, 15N",yes,,654783,107754,Spencer BBWM-Herb2 0114,,
,6212,herbaceous plant,4.22,-32.03,1916.49,,318.49,42.73,,BBWM HERB2,A9,"13C, 15N",yes,,654784,107755,Spencer BBWM-Herb2 0114,,
,6213,herbaceous plant,3.93,-32.88,1694.42,,255.07,98.89,,BBWM HERB2,A10,"13C, 15N",yes,,654785,107756,Spencer BBWM-Herb2 0114,,
,6214,herbaceous plant,4.23,-32.77,1932.35,,47.89,100.61,,BBWM HERB2,A11,"13C, 15N",yes,,654786,107757,Spencer BBWM-Herb2 0114,,
,6215,herbaceous plant,4.25,-31.21,1773.76,,209.96,95.42,,BBWM HERB2,A12,"13C, 15N",yes,,654787,107758,Spencer BBWM-Herb2 0114,,
