"material","watershed","forest","species","TC_mg_g","TC_perc","TC_perc_se","n"
"foliage","EB","HW","AB",486.46,48.65,0.63,20
"foliage","EB","HW","RM",502.45,50.24,0.46,20
"foliage","EB","HW","SM",487.03,48.7,0.41,28
"foliage","EB","HW","YB",478.81,47.88,0.61,20
"foliage","EB","SW","RS",511.75,51.18,0.26,38
"foliage","WB","HW","AB",486.16,48.62,0.5,19
"foliage","WB","HW","RM",508.85,50.88,0.98,19
"foliage","WB","HW","SM",494.1,49.41,0.54,26
"foliage","WB","HW","YB",484.91,48.49,0.36,19
"foliage","WB","SW","RS",508.23,50.82,0.24,38
"herb","EB","HW",,460.28,46.03,0.54,30
"herb","EB","SW",,504.02,50.4,1.15,10
"herb","WB","HW",,471.44,47.14,0.74,24
"herb","WB","SW",,492.26,49.23,0.66,14
"herb",,,,465.35,46.54,0.25,90
"loose_litter","EB","HW",,471.94,47.19,0.74,31
"loose_litter","EB","RT",,440.76,44.08,0.91,15
"loose_litter","EB","SW",,489.92,48.99,1.73,30
"loose_litter","WB","HW",,462.58,46.26,0.66,31
"loose_litter","WB","RT",,452.19,45.22,1.23,14
"loose_litter","WB","SW",,505.49,50.55,0.49,31
"stem","EB","HW","AB",517.22,51.72,1.04,10
"stem","EB","HW","RM",498.12,49.81,0.75,14
"stem","EB","HW","SM",548.82,54.88,2.63,18
"stem","EB","HW","YB",506.91,50.69,1.88,17
"stem","EB","SW","RS",493.09,49.31,0.34,14
"stem","WB","HW","AB",515.57,51.56,2.4,13
"stem","WB","HW","RM",461.05,46.1,2.46,18
"stem","WB","HW","SM",512.9,51.29,2.42,14
"stem","WB","HW","YB",584.21,58.42,7.77,15
"stem","WB","SW","RS",502.66,50.27,0.77,14
"branches","EB","HW",,510.77,51.08,0.36,4
"branches","EB","SW",,535.99,53.6,0.19,4
"branches","WB","HW",,508.63,50.86,0.57,4
"branches","WB","SW",,512.07,51.21,0.54,4
"stumproot","EB","HW","AB",517.22,51.72,1.04,10
"stumproot","EB","HW","RM",498.12,49.81,0.75,14
"stumproot","EB","HW","SM",548.82,54.88,2.63,18
"stumproot","EB","HW","YB",506.91,50.69,1.88,17
"stumproot","EB","SW","RS",493.09,49.31,0.34,14
"stumproot","WB","HW","AB",515.57,51.56,2.4,13
"stumproot","WB","HW","RM",461.05,46.1,2.46,18
"stumproot","WB","HW","SM",512.9,51.29,2.42,14
"stumproot","WB","HW","YB",584.21,58.42,7.77,15
"stumproot","WB","SW","RS",502.66,50.27,0.77,14
