"material","sample_ID","watershed","forest","species","year","C_mg_g"
"woody_litter","13-027","EB","HW","woody",2013,512.463636363636
"woody_litter","13-017","EB","HW","woody",2013,515.847826086957
"woody_litter","13-037","EB","HW","woody",2013,500.240990990991
"woody_litter","13-047","EB","HW","woody",2013,514.507829977629
"woody_litter","13-057","EB","SW","woody",2013,537.8568329718
"woody_litter","13-067","EB","SW","woody",2013,531.190265486726
"woody_litter","13-087","EB","SW","woody",2013,534.858093126386
"woody_litter","13-097","EB","SW","woody",2013,540.065789473684
"woody_litter","13-117","WB","HW","woody",2013,498.828442437923
"woody_litter","13-127","WB","HW","woody",2013,521.605263157895
"woody_litter","13-137","WB","HW","woody",2013,514.929046563193
"woody_litter","13-147","WB","HW","woody",2013,499.155507559395
"woody_litter","13-167","WB","SW","woody",2013,522.837719298246
"woody_litter","13-177","WB","SW","woody",2013,506.831838565022
"woody_litter","13-187","WB","SW","woody",2013,519.054298642534
"woody_litter","13-197","WB","SW","woody",2013,499.562231759657
