material,year,watershed,forest,species,horizon,depth,sample_wt_mg,C_ug,N_ug,C_mg_g,d13C_permil,d15N_permil,TrayName,WellID,enriched,plot,tree,OurLabID,analysis_number,sample_id,d13C_comment,d15N_comment,source_file
foliage,2013,WB,,RS,,,4.29,2193.423,45.625,511.287,-26.609,1.486,BBWM Foliage3,A1,yes,D20,20,680835,5084,5100,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,YB,,,4.18,2010.872,102.553,481.07,-30.022,4.542,BBWM Foliage3,A2,yes,D20,17,680836,5085,5101,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,AB,,,4.21,2006.93,93.511,476.705,-30.391,6.907,BBWM Foliage3,A3,yes,E20,7,680837,5086,5102,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,YB,,,3.97,1929.925,106.643,486.127,-30.456,14.974,BBWM Foliage3,A4,yes,E20,11,680838,5087,5104,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RS,,,3.9,1896.277,44.858,486.225,-29.333,6.463,BBWM Foliage3,A5,yes,F23,14,680839,5088,5105,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RM,,,4.3,2115.087,89.382,491.881,-28.642,2.516,BBWM Foliage3,A6,yes,F23,8,680840,5089,5106,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RS,,,4.42,2212.964,41.099,500.671,-27.153,11.83,BBWM Foliage3,A7,yes,F24,7,680841,5090,5107,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,YB,,,3.98,1882.408,105.826,472.967,-29.408,9.75,BBWM Foliage3,A8,yes,F24,11,680842,5091,5108,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,YB,,,4.2,2056.156,126.91,489.561,-28.601,7.944,BBWM Foliage3,A9,yes,F24,6,680843,5092,5109,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RS,,,3.9,1963.523,53.618,503.467,-29.766,7.692,BBWM Foliage3,A10,yes,H13,22,680844,5093,5110,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RM,,,4.03,2016.784,78.505,500.443,-28.825,5.858,BBWM Foliage3,A11,yes,H13,6,680845,5094,5111,,,SPENCER BBWM-FOLIAGE3 0314
