"sample_ID","material","watershed","forest","year","horizon","depth","C_mg_g"
"4201","roots","EB","HW",2013,"O","O",485.6
"4203","roots","EB","HW",2013,"B","0-5cm",483.76
"4204","roots","EB","HW",2013,"B","5-25cm",487.82
"4205","roots","EB","HW",2013,"O","O",486.81
"4207","roots","EB","HW",2013,"B","0-5cm",474.53
"4208","roots","EB","HW",2013,"B","5-25cm",427.68
"4209","roots","EB","HW",2013,"O","O",489.78
"4210","roots",,,2013,"E","E",482.16
"4211","roots","EB","HW",2013,"B","0-5cm",474.77
"4212","roots","EB","HW",2013,"B","5-25cm",496.39
"4213","roots","EB","HW",2013,"O","O",503.28
"4214","roots",,,2013,"E","E",481.92
"4216","roots","EB","HW",2013,"B","5-25cm",486.08
"4217","roots","EB","HW",2013,"O","O",471.25
"4219","roots","EB","HW",2013,"B","0-5cm",484.79
"4220","roots","EB","HW",2013,"B","5-25cm",463.54
"4221","roots","EB","SW",2013,"O","O",522.69
"4225","roots","EB","SW",2013,"O","O",544.46
"4227","roots","EB","SW",2013,"B","0-5cm",516.63
"4228","roots","EB","SW",2013,"B","5-25cm",491.99
"4229","roots","EB","SW",2013,"O","O",527.79
"4230","roots",,,2013,"E","E",494.81
"4231","roots","EB","SW",2013,"B","0-5cm",451.33
"4233","roots","EB","SW",2013,"B","5-25cm",540.36
"4235","roots","EB","SW",2013,"B","0-5cm",467.09
"4236","roots","EB","SW",2013,"B","5-25cm",497.44
"4237","roots","EB","SW",2013,"O","O",508.65
"4239","roots","EB","SW",2013,"B","0-5cm",484.27
"4240","roots","EB","SW",2013,"B","5-25cm",494.03
"4241","roots","WB","HW",2013,"O","O",518.83
"4243a","roots","WB","HW",2013,"B","0-5cm",503.94
"4244","roots","WB","HW",2013,"B","5-25cm",510.85
"4245","roots","WB","HW",2013,"O","O",510.47
"4247","roots","WB","HW",2013,"B","0-5cm",492.99
"4248","roots","WB","HW",2013,"B","5-25cm",490.88
"4249","roots","WB","HW",2013,"O","O",517.76
"4251","roots","WB","HW",2013,"B","0-5cm",502
"4252","roots","WB","HW",2013,"B","5-25cm",497.04
"4253","roots","WB","HW",2013,"O","O",498.08
"4254","roots",,,2013,"E","E",499.26
"4255","roots","WB","HW",2013,"B","0-5cm",484.03
"4256","roots","WB","HW",2013,"B","5-25cm",483.79
"4257","roots","WB","HW",2013,"O","O",525.1
"4258","roots",,,2013,"E","E",430.42
"4259","roots","WB","HW",2013,"B","0-5cm",490.32
"4261","roots","WB","SW",2013,"O","O",523.87
"4262","roots",,,2013,"E","E",484.88
"4263","roots","WB","SW",2013,"B","0-5cm",510.79
"4264","roots","WB","SW",2013,"B","5-25cm",505.79
"4265","roots","WB","SW",2013,"O","O",530.61
"4267","roots","WB","SW",2013,"B","0-5cm",456.17
"4268","roots","WB","SW",2013,"B","5-25cm",497.99
"4269","roots","WB","SW",2013,"O","O",537.94
"4271","roots","WB","SW",2013,"B","0-5cm",488.22
"4272","roots","WB","SW",2013,"B","5-25cm",502.24
"4273","roots","WB","SW",2013,"O","O",542.82
"4275","roots","WB","SW",2013,"B","0-5cm",508.93
"4276","roots","WB","SW",2013,"B","5-25cm",511.61
"4277","roots","WB","SW",2013,"O","O",522.31
"4278","roots",,,2013,"E","E",486.24
"4279","roots","WB","SW",2013,"B","0-5cm",500.04
"4280","roots","WB","SW",2013,"B","5-25cm",500.66
"4215","roots","EB","HW",2013,"B","0-5cm",452.52
"4243b","roots","WB","HW",2013,"B","0-5cm",518.41
"4017","roots","EB","HW",2012,"O","O",521.52
"4018","roots","EB","HW",2012,"B","B",565.98
"4022","roots","EB","HW",2012,"O","O",489.88
"4023","roots","EB","HW",2012,"B","B",409.05
"4027","roots","EB","HW",2012,"O","O",508.01
"4028","roots","EB","HW",2012,"B","B",471.62
"4032","roots","EB","SW",2012,"O","O",545.77
"4033","roots","EB","SW",2012,"O","O",504.28
"4034","roots","EB","SW",2012,"O","O",522.63
"4036","roots","EB","SW",2012,"B","B",437.23
"4053","roots","EB","SW",2012,"O","O",504.14
"4054","roots","EB","SW",2012,"B","B",516.43
"4058","roots","EB","SW",2012,"O","O",487.38
"4059","roots","EB","SW",2012,"B","B",480.58
"4063","roots","WB","HW",2012,"O","O",511.16
"4064","roots","WB","HW",2012,"O","O",490.56
"4065","roots","WB","HW",2012,"O","O",529.08
"4067","roots","WB","HW",2012,"B","B",467.83
"4084","roots","WB","HW",2012,"O","O",466.74
"4085","roots","WB","HW",2012,"B","B",459.54
"4089","roots","WB","HW",2012,"O","O",499.96
"4090","roots","WB","HW",2012,"B","B",373.7
"4094","roots","WB","SW",2012,"O","O",517.4
"4095","roots","WB","SW",2012,"O","O",556.39
"4096","roots","WB","SW",2012,"O","O",488.36
"4098","roots","WB","SW",2012,"B","B",418.84
"4115","roots","WB","SW",2012,"O","O",514.97
"4116","roots","WB","SW",2012,"B","B",423.54
"4120","roots","WB","SW",2012,"O","O",497.3
"4121","roots","WB","SW",2012,"B","B",515.64
"R1","roots","EB","HW",,"O","O",492.31
"R2","roots","EB","HW",,"O","O",524.89
"R3","roots","EB","HW",,"O","O",524.38
"R4","roots","EB","HW",,"O","O",466.78
"R5","roots","EB","HW",,"O","O",495.33
"R6","roots","EB","HW",,"O","O",483.86
"R7","roots","EB","HW",,"B","0-5cm",500.29
"R8","roots","EB","HW",,"B","0-5cm",500.13
"R9","roots","EB","HW",,"B","0-5cm",510.02
"R10","roots","EB","HW",,"B","0-5cm",517.59
"R11","roots","EB","HW",,"B","0-5cm",516.4
"R12","roots","EB","HW",,"B","0-5cm",511.96
"R13","roots","EB","HW",,"B","5-25cm",476
"R14","roots","EB","HW",,"B","5-25cm",483.92
"R15","roots","EB","HW",,"B","5-25cm",506.11
"R16","roots","EB","HW",,"B","5-25cm",505.49
"R17","roots","EB","HW",,"B","5-25cm",494.67
"R18","roots","EB","HW",,"B","5-25cm",492.86
"R19","roots","EB","HW",,"B","25-50cm",533.6
"R20","roots","EB","HW",,"B","25-50cm",512
"R21","roots","EB","HW",,"B","25-C",574.74
"R22","roots","EB","HW",,"B","25-50cm",481.18
"R23","roots","EB","HW",,"B","25-50cm",480.57
"R24","roots","EB","HW",,"B","25-C",507.43
"R25","roots","EB","HW",,"B","50-C",521.42
"R26","roots","EB","HW",,"B","50-C",491.71
"R27","roots","EB","HW",,"B","50-C",518.36
"R28","roots","EB","HW",,"B","50-C",404.31
"R29","roots","EB","SW",,"O","O",551.57
"R30","roots","EB","SW",,"O","O",496.43
"R31","roots","EB","SW",,"O","O",547.28
"R32","roots","EB","SW",,"O","O",490.61
"R33","roots","EB","SW",,"O","O",538.64
"R34","roots","EB","SW",,"O","O",560.41
"R35","roots","EB","SW",,"B","0-5cm",525.08
"R36","roots","EB","SW",,"B","0-5cm",585.6
"R37","roots","EB","SW",,"B","0-5cm",557.03
"R38","roots","EB","SW",,"B","0-5cm",559.44
"R39","roots","EB","SW",,"B","0-5cm",570.67
"R40","roots","EB","SW",,"B","0-5cm",505.36
"R41","roots","EB","SW",,"B","5-25cm",559.05
"R42","roots","EB","SW",,"B","5-25cm",587.04
"R43","roots","EB","SW",,"B","5-25cm",546.18
"R44","roots","EB","SW",,"B","5-25cm",505.49
"R45","roots","EB","SW",,"B","5-25cm",537.75
"R46","roots","EB","SW",,"B","5-25cm",495.79
"R47","roots","EB","SW",,"B","25-50cm",487.65
"R48","roots","EB","SW",,"B","25-50cm",572.12
"R49","roots","EB","SW",,"B","25-C",548.25
"R50","roots","EB","SW",,"B","25-50cm",595.72
"R51","roots","EB","SW",,"B","25-50cm",493.46
"R52","roots","EB","SW",,"B","25-C",524.78
"R53","roots","EB","SW",,"B","50-C",522.33
"R54","roots","EB","SW",,"B","50-C",515.05
"R55","roots","EB","SW",,"B","50-C",561.46
"R56","roots","EB","SW",,"B","50-C",514.6
"R57","roots","WB","HW",,"O","O",487.12
"R58","roots","WB","HW",,"O","O",539.8
"R59","roots","WB","HW",,"O","O",529.82
"R60","roots","WB","HW",,"O","O",507.97
"R61","roots","WB","HW",,"O","O",517.2
"R62","roots","WB","HW",,"O","O",517.3
"R63","roots","WB","HW",,"B","0-5cm",549.96
"R64","roots","WB","HW",,"B","0-5cm",502.38
"R65","roots","WB","HW",,"B","0-5cm",510.8
"R66","roots","WB","HW",,"B","0-5cm",543.26
"R67","roots","WB","HW",,"B","0-5cm",492.26
"R68","roots","WB","HW",,"B","0-5cm",536.96
"R69","roots","WB","HW",,"B","5-25cm",528.49
"R70","roots","WB","HW",,"B","5-25cm",557.21
"R71","roots","WB","HW",,"B","5-25cm",555.7
"R72","roots","WB","HW",,"B","5-25cm",535.27
"R73","roots","WB","HW",,"B","5-25cm",523.95
"R74","roots","WB","HW",,"B","5-25cm",531.65
"R75","roots","WB","HW",,"B","25-50cm",521.44
"R76","roots","WB","HW",,"B","25-50cm",524.31
"R77","roots","WB","HW",,"B","25-50cm",525.36
"R78","roots","WB","HW",,"B","25-50cm",552.83
"R79","roots","WB","HW",,"B","25-50cm",548.62
"R80","roots","WB","HW",,"B","25-50cm",492.29
"R81","roots","WB","HW",,"B","50-C",492.26
"R82","roots","WB","HW",,"B","50-C",533.6
"R83","roots","WB","HW",,"B","50-C",546.39
"R84","roots","WB","HW",,"B","50-C",524.89
"R85","roots","WB","HW",,"B","50-C",506.99
"R86","roots","WB","HW",,"B","50-C",502.54
"R87","roots","WB","SW",,"O","O",558.39
"R88","roots","WB","SW",,"O","O",541.01
"R89","roots","WB","SW",,"O","O",524.69
"R90","roots","WB","SW",,"O","O",549.59
"R91","roots","WB","SW",,"O","O",505.13
"R92","roots","WB","SW",,"O","O",516.6
"R93","roots","WB","SW",,"B","0-5cm",529.89
"R94","roots","WB","SW",,"B","0-5cm",525.08
"R95","roots","WB","SW",,"B","0-5cm",528.83
"R96","roots","WB","SW",,"B","0-5cm",507.43
