"sample_ID","material","watershed","forest","year","horizon","depth","C_mg_g"
"R97","roots","WB","SW",,"B","0-5cm",538.04
"R98","roots","WB","SW",,"B","0-5cm",510.8
"R99","roots","WB","SW",,"B","5-25cm",513.39
"R100","roots","WB","SW",,"B","5-25cm",496.72
"R101","roots","WB","SW",,"B","5-25cm",535.7
"R102","roots","WB","SW",,"B","5-25cm",497.63
"R103","roots","WB","SW",,"B","5-25cm",493.46
"R104","roots","WB","SW",,"B","5-25cm",518.13
"R105","roots","WB","SW",,"B","25-50cm",522.88
"R106","roots","WB","SW",,"B","25-50cm",564.26
"R107","roots","WB","SW",,"B","25-C",517.32
"R108","roots","WB","SW",,"B","25-50cm",514.72
"R109","roots","WB","SW",,"B","25-50cm",517.06
"R110","roots","WB","SW",,"B","25-C",511.96
"R111","roots","WB","SW",,"B","50-C",496.43
"R112","roots","WB","SW",,"B","50-C",525.31
"R113","roots","WB","SW",,"B","50-C",476.51
"R114","roots","WB","SW",,"B","50-C",516.56
