"skip","material","watershed","forest","year","plot","horizon","depth","sample_wt_mg","C_ug","N_ug","d13C_permil","d15N_permil","d13C_comment","d15N_comment","TrayName","WellID","enriched","OurLabID","analysis_number","sample_id","sample_id2","sample_identifier","source_file","C_mg_g"
NA,"roots","EB","HW",2013,"3","O","O",3.8,1845.29077519973,41.9159506106081,-28.3536267047311,27.4789846593153,NA,NA,"BBWM Roots3","A1","yes",690713,125830,"4201","4201",NA,"SPENCER BBWM-ROOTS 0414",485.602835578876
NA,"roots","EB","HW",2013,"3","B","0-5cm",3.93,1901.18791002587,22.0106836765652,-26.587804058491,4.92651967839684,NA,NA,"BBWM Roots3","A2","yes",690714,125831,"4203","4203",NA,"SPENCER BBWM-ROOTS 0414",483.762826978592
NA,"roots","EB","HW",2013,"3","B","5-25cm",3.84,1873.23811292847,19.2982376948376,-26.9567049603709,1.63420973562387,NA,"Precision decreases for samples containing less than 20ugN","BBWM Roots3","A3","yes",690715,125832,"4204","4204",NA,"SPENCER BBWM-ROOTS 0414",487.822425241789
NA,"roots","EB","HW",2013,"1","O","O",4.25,2068.93833935203,46.4433103941369,-28.2695961416333,36.6405689466353,NA,NA,"BBWM Roots3","A4","yes",690716,125833,"4205","4205",NA,"SPENCER BBWM-ROOTS 0414",486.809021024008
NA,"roots","EB","HW",2013,"1","B","0-5cm",4.36,2068.93833935203,26.6968965561841,-27.2157170148001,10.334072115867,NA,NA,"BBWM Roots3","A5","yes",690717,125834,"4207","4207",NA,"SPENCER BBWM-ROOTS 0414",474.527142053218
NA,"roots","EB","HW",2013,"1","B","5-25cm",3.89,1663.69302707391,19.2160495127364,-27.1561759569253,3.19093368318121,NA,"Precision decreases for samples containing less than 20ugN","BBWM Roots3","A6","yes",690718,125835,"4208","4208",NA,"SPENCER BBWM-ROOTS 0414",427.68458279535
NA,"roots","EB","HW",2013,"2","O","O",4.11,2013.01169210202,47.019611097438,-27.8455928742009,8.35709862153866,NA,NA,"BBWM Roots3","A7","yes",690719,125836,"4209","4209",NA,"SPENCER BBWM-ROOTS 0414",489.783866691488
NA,"roots",NA,NA,2013,NA,"E","E",4.32,2082.92153826995,30.8909822794261,-26.2702017066074,4.53580249297212,NA,NA,"BBWM Roots3","A8","yes",690720,125837,"4210",NA,NA,"SPENCER BBWM-ROOTS 0414",482.157763488413
NA,"roots","EB","HW",2013,"2","B","0-5cm",4.24,2013.01169210202,37.7189903146542,-27.5762871743564,3.38040535644809,NA,NA,"BBWM Roots3","A9","yes",690721,125838,"4211","4211",NA,"SPENCER BBWM-ROOTS 0414",474.766908514627
NA,"roots","EB","HW",2013,"2","B","5-25cm",3.83,1901.18791002587,32.8650482439252,-27.4929978484828,3.14501261462061,NA,NA,"BBWM Roots3","A10","yes",690722,125839,"4212","4212",NA,"SPENCER BBWM-ROOTS 0414",496.393710189521
