"material","sample_ID","watershed","forest","species","year","C_mg_g"
"loose_litter","LL1001","EB","HW",,2012,484.64
"loose_litter","LL1002","EB","HW",,2012,487.43
"loose_litter","LL1003","EB","HW",,2012,474.15
"loose_litter","LL1004","EB","HW",,2012,532.09
"loose_litter","LL1005","EB","HW",,2012,522.08
"loose_litter","LL1011","EB","SW",,2012,510.01
"loose_litter","LL1012","EB","SW",,2012,498.24
"loose_litter","LL1013","EB","SW",,2012,500.82
"loose_litter","LL1014","EB","SW",,2012,548.94
"loose_litter","LL1015","EB","SW",,2012,519.45
"loose_litter","LL1021","WB","HW",,2012,393.53
"loose_litter","LL1022","WB","HW",,2012,458.5
"loose_litter","LL1023","WB","HW",,2012,476.14
"loose_litter","LL1024","WB","HW",,2012,458.34
"loose_litter","LL1025","WB","HW",,2012,501.86
"loose_litter","LL1031","WB","SW",,2012,515.85
"loose_litter","LL1032","WB","SW",,2012,531.1
"loose_litter","LL1033","WB","SW",,2012,543.5
"loose_litter","LL1034","WB","SW",,2012,544.06
"loose_litter","LL1035","WB","SW",,2012,546.71
"loose_litter","LL1041","EB","RT",,2012,427.12
"loose_litter","LL1042","EB","RT",,2012,359.06
"loose_litter","LL1043","EB","RT",,2012,465.51
"loose_litter","LL1047","WB","RT",,2012,487.21
"loose_litter","LL1048","WB","RT",,2012,480.61
"loose_litter","LL1201","EB","HW",,2012,493.85
"loose_litter","LL1202","EB","HW",,2012,353.85
"loose_litter","LL1203","EB","HW",,2012,454.82
"loose_litter","LL1204","EB","HW",,2012,468.5
"loose_litter","LL1205","EB","HW",,2012,493.39
"loose_litter","LL1211","EB","SW",,2012,514.63
"loose_litter","LL1212","EB","SW",,2012,557.82
"loose_litter","LL1213","EB","SW",,2012,502.8
"loose_litter","LL1214","EB","SW",,2012,509.99
"loose_litter","LL1215","EB","SW",,2012,485.3
"loose_litter","LL1221","WB","HW",,2012,412.58
"loose_litter","LL1222","WB","HW",,2012,519.37
"loose_litter","LL1223","WB","HW",,2012,445.85
"loose_litter","LL1224","WB","HW",,2012,448.23
"loose_litter","LL1225","WB","HW",,2012,538.97
"loose_litter","LL1231","WB","SW",,2012,498.62
"loose_litter","LL1232","WB","SW",,2012,488.88
"loose_litter","LL1233","WB","SW",,2012,498.38
"loose_litter","LL1234","WB","SW",,2012,521.91
"loose_litter","LL1235","WB","SW",,2012,533.02
"loose_litter","LL1241","EB","RT",,2012,426.71
"loose_litter","LL1242","EB","RT",,2012,459.79
