sample_number,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,source_file,,,13C (at-%),15N (at-%)
6440,-31.91,1830.73,Contains more carbon than largest standard,144.91,76.85,,BBWM HERB3,E3,herbaceous plant,"13C, 15N",yes,,4,759963,241515,,,Spencer BBWM-Herb3 1014,,,,0.41916
6449,-32.44,1948.54,Contains more carbon than largest standard,88.8,37.41,,BBWM HERB3,E4,herbaceous plant,"13C, 15N",yes,,4.03,759964,241516,,,Spencer BBWM-Herb3 1014,,,,0.3987
6450,-32.02,1895.21,Contains more carbon than largest standard,55.3,81.08,,BBWM HERB3,E5,herbaceous plant,"13C, 15N",yes,,4.13,759965,241517,,,Spencer BBWM-Herb3 1014,,,,0.38648
6454,,2127.07,Too large - total C given as estimate only,12.7,51.24,,BBWM HERB3,E6,herbaceous plant,"13C, 15N",yes,,4.34,759966,241518,,,Spencer BBWM-Herb3 1014,,,,0.37094
6456,-31.79,1927.25,Contains more carbon than largest standard,87.81,80.22,,BBWM HERB3,E7,herbaceous plant,"13C, 15N",yes,,4.22,759967,241519,,,Spencer BBWM-Herb3 1014,,,,0.39834
6463,-29.5,1819.93,,140.09,93.52,,BBWM HERB3,E8,herbaceous plant,"13C, 15N",yes,,4.02,759968,241520,,,Spencer BBWM-Herb3 1014,,,,0.41741
6464,-30.76,1937.9,Contains more carbon than largest standard,42.03,56.93,,BBWM HERB3,E9,herbaceous plant,"13C, 15N",yes,,4.12,759969,241521,,,Spencer BBWM-Herb3 1014,,,,0.38164
6466,-31.85,1689.17,,38.23,78,,BBWM HERB3,E10,herbaceous plant,"13C, 15N",yes,,4.1,759970,241522,,,Spencer BBWM-Herb3 1014,,,,0.38025
6470,-30.36,2064.55,Contains more carbon than largest standard,101.5,40.39,,BBWM HERB3,E11,herbaceous plant,"13C, 15N",yes,,4.23,759971,241523,,,Spencer BBWM-Herb3 1014,,,,0.40333
6474,-30.08,1884.5,Contains more carbon than largest standard,66.93,103.39,,BBWM HERB3,E12,herbaceous plant,"13C, 15N",yes,,4.08,759972,241524,,,Spencer BBWM-Herb3 1014,,,,0.39072
6480,-30,1895.21,Contains more carbon than largest standard,50.42,77.81,,BBWM HERB3,F1,herbaceous plant,"13C, 15N",yes,,4.36,759973,241528,,,Spencer BBWM-Herb3 1014,,,,0.3847
6481,-28.73,1765.7,,31.54,93.14,,BBWM HERB3,F2,herbaceous plant,"13C, 15N",yes,,3.96,759974,241529,,,Spencer BBWM-Herb3 1014,,,,0.37781
6482,-30.61,1873.77,Contains more carbon than largest standard,24.78,82.81,,BBWM HERB3,F3,herbaceous plant,"13C, 15N",yes,,3.93,759975,241530,,,Spencer BBWM-Herb3 1014,,,,0.37535
6484,-30.85,2001.5,Contains more carbon than largest standard,28.86,90.76,,BBWM HERB3,F4,herbaceous plant,"13C, 15N",yes,,4.18,759976,241531,,,Spencer BBWM-Herb3 1014,,,,0.37683
6485,,2064.55,Too large - total C given as estimate only,84.66,86.65,,BBWM HERB3,F5,herbaceous plant,"13C, 15N",yes,,4.28,759977,241532,,,Spencer BBWM-Herb3 1014,,,,0.39719
6486,-29.77,1819.93,,61.19,72.4,,BBWM HERB3,F6,herbaceous plant,"13C, 15N",yes,,4.03,759978,241533,,,Spencer BBWM-Herb3 1014,,,,0.38863
6487,-30.55,1884.5,Contains more carbon than largest standard,37.82,80.31,,BBWM HERB3,F7,herbaceous plant,"13C, 15N",yes,,4.02,759979,241534,,,Spencer BBWM-Herb3 1014,,,,0.3801
6488,-31.81,1798.28,,68.6,95.42,,BBWM HERB3,F8,herbaceous plant,"13C, 15N",yes,,3.99,759980,241535,,,Spencer BBWM-Herb3 1014,,,,0.39133
6489,-29.02,1895.21,Contains more carbon than largest standard,27.3,85.02,,BBWM HERB3,F9,herbaceous plant,"13C, 15N",yes,,4.2,759981,241536,,,Spencer BBWM-Herb3 1014,,,,0.37626
6490,,2127.07,Too large - total C given as estimate only,103.22,54.28,,BBWM HERB3,F10,herbaceous plant,"13C, 15N",yes,,4.33,759982,241537,,,Spencer BBWM-Herb3 1014,,,,0.40396
6491,-32.15,1916.59,Contains more carbon than largest standard,68.41,101.49,,BBWM HERB3,F11,herbaceous plant,"13C, 15N",yes,,3.9,759983,241538,,,Spencer BBWM-Herb3 1014,,,,0.39126
6492,-31.74,1873.77,Contains more carbon than largest standard,93.78,109.98,,BBWM HERB3,F12,herbaceous plant,"13C, 15N",yes,,4.03,759984,241539,,,Spencer BBWM-Herb3 1014,,,,0.40052
6496,-32.54,1959.16,Contains more carbon than largest standard,73.98,45.33,,BBWM HERB3,G1,herbaceous plant,"13C, 15N",yes,,4,759985,241543,,,Spencer BBWM-Herb3 1014,,,,0.3933
6497,-32.74,1863.03,Contains more carbon than largest standard,102.74,100.55,,BBWM HERB3,G2,herbaceous plant,"13C, 15N",yes,,3.95,759986,241544,,,Spencer BBWM-Herb3 1014,,,,0.40378
6498,-33.22,2001.5,Contains more carbon than largest standard,40.53,108.1,,BBWM HERB3,G3,herbaceous plant,"13C, 15N",yes,,4.23,759987,241545,,,Spencer BBWM-Herb3 1014,,,,0.38109
6499,-33.93,1743.91,,104.75,97.7,,BBWM HERB3,G4,herbaceous plant,"13C, 15N",yes,,3.97,759988,241546,,,Spencer BBWM-Herb3 1014,,,,0.40452
6500,-31.2,1841.51,Contains more carbon than largest standard,62.54,72.4,,BBWM HERB3,G5,herbaceous plant,"13C, 15N",yes,,4.07,759989,241547,,,Spencer BBWM-Herb3 1014,,,,0.38912
6502,-33,2022.57,Contains more carbon than largest standard,125.23,35.42,,BBWM HERB3,G6,herbaceous plant,"13C, 15N",yes,,4.03,759990,241548,,,Spencer BBWM-Herb3 1014,,,,0.41199
6503,-32.4,1959.16,Contains more carbon than largest standard,69.82,94.38,,BBWM HERB3,G7,herbaceous plant,"13C, 15N",yes,,4.13,759991,241549,,,Spencer BBWM-Herb3 1014,,,,0.39178
6504,-32.73,1916.59,Contains more carbon than largest standard,82.38,90.56,,BBWM HERB3,G8,herbaceous plant,"13C, 15N",yes,,4.24,759992,241550,,,Spencer BBWM-Herb3 1014,,,,0.39636
6508,-31.41,1852.28,Contains more carbon than largest standard,101.67,40.48,,BBWM HERB3,G9,herbaceous plant,"13C, 15N",yes,,3.93,759993,241551,,,Spencer BBWM-Herb3 1014,,,,0.4034
6509,-32.64,1841.51,Contains more carbon than largest standard,48.82,93.04,,BBWM HERB3,G10,herbaceous plant,"13C, 15N",yes,,4.01,759994,241552,,,Spencer BBWM-Herb3 1014,,,,0.38412
6514,-31.7,2064.55,Contains more carbon than largest standard,60.81,60.93,,BBWM HERB3,G11,herbaceous plant,"13C, 15N",yes,,4.27,759995,241553,,,Spencer BBWM-Herb3 1014,,,,0.38849
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6431,-31.59,1986.19,,,,,BBWM HERB 3 RE,A1,Herbaceous Sample,13C,yes,,3.91,773564,8039,,,Spencer BBWM-Herb3RE 1114,,,1.07651,
6448,-31.99,2007.69,,,,,BBWM HERB 3 RE,A2,Herbaceous Sample,13C,yes,,3.99,773565,8040,,,Spencer BBWM-Herb3RE 1114,,,1.07607,
6469,-30.55,1821.82,,,,,BBWM HERB 3 RE,A3,Herbaceous Sample,13C,yes,,3.92,773566,8041,,,Spencer BBWM-Herb3RE 1114,,,1.07765,
