sample_number,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,source_file,,,13C (at-%),15N (at-%)
6289,-32.44,1773.76,,178.89,98.02,,BBWM HERB2,E1,herbaceous plant,"13C, 15N",yes,,4,654824,107809,,,Spencer BBWM-Herb2 0114,,,,
6290,-31.19,1995.75,,125.65,36.79,,BBWM HERB2,E2,herbaceous plant,"13C, 15N",yes,,3.99,654825,107810,,,Spencer BBWM-Herb2 0114,,,,
6291,-32.33,1821.35,,181.63,70.24,,BBWM HERB2,E3,herbaceous plant,"13C, 15N",yes,,4.13,654826,107811,,,Spencer BBWM-Herb2 0114,,,,
6292,-32.1,1757.89,,83.39,36.79,,BBWM HERB2,E4,herbaceous plant,"13C, 15N",yes,,3.94,654827,107812,,,Spencer BBWM-Herb2 0114,,,,
6293,-31.6,1995.75,,257.2,121.19,,BBWM HERB2,E5,herbaceous plant,"13C, 15N",yes,,4.06,654828,107813,,,Spencer BBWM-Herb2 0114,,,,
6295,-32.96,1948.2,,150.96,45.15,,BBWM HERB2,E6,herbaceous plant,"13C, 15N",yes,,4.03,654829,107814,,,Spencer BBWM-Herb2 0114,,,,
6296,-31.5,2169.99,,162.54,38.23,,BBWM HERB2,E7,herbaceous plant,"13C, 15N",yes,,4.15,654830,107815,,,Spencer BBWM-Herb2 0114,,,,
6302,-31.89,2027.44,,66.32,37.69,,BBWM HERB2,E8,herbaceous plant,"13C, 15N",yes,,4,654831,107816,,,Spencer BBWM-Herb2 0114,,,,
6307,-30.66,1868.93,,102.9,33.17,,BBWM HERB2,E9,herbaceous plant,"13C, 15N",yes,,3.91,654832,107817,,,Spencer BBWM-Herb2 0114,,,,
6308,-32.11,2027.44,,120.46,56.23,,BBWM HERB2,E10,herbaceous plant,"13C, 15N",yes,,3.96,654833,107818,,,Spencer BBWM-Herb2 0114,,,,
6314,-32.51,2201.65,,127.98,72.53,,BBWM HERB2,E11,herbaceous plant,"13C, 15N",yes,,4.26,654834,107819,,,Spencer BBWM-Herb2 0114,,,,
6319,-32.01,1964.05,,107.12,67.06,,BBWM HERB2,E12,herbaceous plant,"13C, 15N",yes,,4.06,654835,107820,,,Spencer BBWM-Herb2 0114,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6011,-32.53,1888.99,,1040.48,43.96,,BBWM HERB1,A1,herbaceous plant,"13C, 15N",yes,,4.03,503822,52433,,,BBWM Herb 1 results,,,,
6013,-32.58,2009.31,,905.11,42.58,,BBWM HERB1,A2,herbaceous plant,"13C, 15N",yes,,4.13,503823,52434,,,BBWM Herb 1 results,,,,
6026,-33.46,1934.4,,1314.1,49.4,,BBWM HERB1,A3,herbaceous plant,"13C, 15N",yes,,4.02,503824,52435,,,BBWM Herb 1 results,,,,
6028,-32.94,1993.42,,723.34,43.79,,BBWM HERB1,A4,herbaceous plant,"13C, 15N",yes,,4.15,503825,52436,,,BBWM Herb 1 results,,,,
6037,-32.34,1943.48,,1097.23,44.05,,BBWM HERB1,A5,herbaceous plant,"13C, 15N",yes,,4.03,503826,52437,,,BBWM Herb 1 results,,,,
6038,-33.7,1929.86,,1386.48,44.22,,BBWM HERB1,A6,herbaceous plant,"13C, 15N",yes,,4.08,503827,52438,,,BBWM Herb 1 results,,,,
6045,-32.01,2068.31,,296.3,43.36,,BBWM HERB1,A7,herbaceous plant,"13C, 15N",yes,,3.95,503828,52439,,,BBWM Herb 1 results,,,,
6080,-31.94,2202.15,,280.15,47.15,,BBWM HERB1,A8,herbaceous plant,"13C, 15N",yes,,4.1,503829,52440,,,BBWM Herb 1 results,,,,
6055,-30.85,2190.81,,157.3,44.57,,BBWM HERB1,A9,herbaceous plant,"13C, 15N",yes,,3.93,503830,52441,,,BBWM Herb 1 results,,,,
6056,-31.78,2149.98,,229.94,47.76,,BBWM HERB1,A10,herbaceous plant,"13C, 15N",yes,,3.91,503831,52442,,,BBWM Herb 1 results,,,,
6062,-31.68,2020.65,,834.51,54.82,,BBWM HERB1,A11,herbaceous plant,"13C, 15N",yes,,4.13,503832,52443,,,BBWM Herb 1 results,,,,
6065,-31.46,2165.86,,547.34,61.02,,BBWM HERB1,A12,herbaceous plant,"13C, 15N",yes,,4.05,503833,52444,,,BBWM Herb 1 results,,,,
6072,-30.48,2072.85,,258.27,99.98,,BBWM HERB1,B1,herbaceous plant,"13C, 15N",yes,,3.99,503834,52448,,,BBWM Herb 1 results,,,,
6076,-31.7,2211.22,,690.51,78.44,,BBWM HERB1,B2,herbaceous plant,"13C, 15N",yes,,4.13,503835,52449,,,BBWM Herb 1 results,,,,
6028,-32.34,1986.61,,329.74,39.99,,BBWM HERB1,B3,herbaceous plant,"13C, 15N",yes,,4.04,503836,52450,,,BBWM Herb 1 results,,,,
6092,-31.74,2091,,180.98,45.34,,BBWM HERB1,B4,herbaceous plant,"13C, 15N",yes,,4.11,503837,52451,,,BBWM Herb 1 results,,,,
6098,-31.87,2063.77,,169.45,36.53,,BBWM HERB1,B5,herbaceous plant,"13C, 15N",yes,,4.04,503838,52452,,,BBWM Herb 1 results,,,,
6102,-31.92,1952.56,,167.47,34.29,,BBWM HERB1,B6,herbaceous plant,"13C, 15N",yes,,3.99,503839,52453,,,BBWM Herb 1 results,,,,
R6102,-19.75,3.61,Too small,,,Below detection,BBWM HERB1,B7,herbaceous plant,"13C, 15N",yes,,4.03,503840,52454,,,BBWM Herb 1 results,,,,
BLANK1,,,no sample,,,no sample,BBWM HERB1,B8,blank capsule,"13C, 15N",no,,0,503841,,,,BBWM Herb 1 results,,,,
