species,leaves_b0,leaves_b1,branches_b0,branches_b1,stem_b0,stem_b1,stumproot_b0,stumproot_b1,total_b0,total_b1
AB,-1.425,1.916,-0.638,2.363,1.046,2.3,-0.048,2.252,1.555,2.291
BF,-1.645,2.451,-2.206,2.46,0.349,2.412,-0.798,2.451,,
RM,-1.196,1.832,-0.956,2.206,0.568,2.49,-0.345,2.333,1.188,2.37
RS,-0.798,2.138,-1.351,2.338,0.396,2.375,-0.53,2.326,1.107,2.298
SM,-1.561,1.89,-1.397,2.551,1.107,2.289,-0.083,2.264,1.478,2.322
StM,-1.561,1.89,-1.397,2.551,1.107,2.289,-0.083,2.264,,
YB,-1.534,1.978,-0.826,2.379,0.751,2.341,-0.296,2.322,1.345,2.335
