sample_ID,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,,source_file,,,
LL1223,-28.64,2099.97,,299.28,74.32,,BBWMLLTray3,C2,Forest Floor litter,"13C, 15N",Yes,,4.71,604087,88103,,,,Spencer BBWM-LLTray3 0613,,,
LL1231,-26.28,2129.12,,113.09,48.22,,BBWMLLTray3,C3,Forest Floor litter,"13C, 15N",Yes,,4.27,604088,88104,,,,Spencer BBWM-LLTray3 0613,,,
LL1232,-26.87,2136.41,,85.8,62.58,,BBWMLLTray3,C4,Forest Floor litter,"13C, 15N",Yes,,4.37,604089,88105,,,,Spencer BBWM-LLTray3 0613,,,
LL1241,-28.36,1988.49,,285.73,72.97,,BBWMLLTray3,C5,Forest Floor litter,"13C, 15N",Yes,,4.66,604090,88106,,,,Spencer BBWM-LLTray3 0613,,,
RLL1241,-28.38,2044.18,,285.97,74.62,,BBWMLLTray3,C6,Forest Floor litter,"13C, 15N",Yes,,4.72,604091,88107,,,,Spencer BBWM-LLTray3 0613,,,
LL1242,-28.05,2206.97,,164.79,86.3,,BBWMLLTray3,C7,Forest Floor litter,"13C, 15N",Yes,,4.8,604092,88108,,,,Spencer BBWM-LLTray3 0613,,,
LL1243,-28.15,2221.59,,162.11,61.83,,BBWMLLTray3,C8,Forest Floor litter,"13C, 15N",Yes,,4.75,604093,88109,,,,Spencer BBWM-LLTray3 0613,,,
LL1247,-28.35,2355.9,,167.35,83.31,,BBWMLLTray3,C9,Forest Floor litter,"13C, 15N",Yes,,4.81,604094,88110,,,,Spencer BBWM-LLTray3 0613,,,
LL1248,-28.31,2275.25,,53.11,83.76,,BBWMLLTray3,C10,Forest Floor litter,"13C, 15N",Yes,,4.9,604095,88111,,,,Spencer BBWM-LLTray3 0613,,,
LL1249,-29.12,1761.86,,452.52,60.02,,BBWMLLTray3,C11,Forest Floor litter,"13C, 15N",Yes,,4.78,604096,88112,,,,Spencer BBWM-LLTray3 0613,,,
LL1301,-27.51,2075.7,,128.96,58.96,,BBWMLLTray3,C12,Forest Floor litter,"13C, 15N",Yes,,4.62,604097,88113,,,,Spencer BBWM-LLTray3 0613,,,
LL1303,-28.79,2243.53,,131,77.92,,BBWMLLTray3,D1,Forest Floor litter,"13C, 15N",Yes,,4.77,604098,88117,,,,Spencer BBWM-LLTray3 0613,,,
LL1311,-26.47,2131.55,,40.27,61.53,,BBWMLLTray3,D2,Forest Floor litter,"13C, 15N",Yes,,4.43,604099,88118,,,,Spencer BBWM-LLTray3 0613,,,
LL1313,-26.69,1855.69,,30.39,55.03,,BBWMLLTray3,D3,Forest Floor litter,"13C, 15N",Yes,,4.48,604100,88119,,,,Spencer BBWM-LLTray3 0613,,,
LL1321,-27.97,2304.55,,272.52,90.03,,BBWMLLTray3,D4,Forest Floor litter,"13C, 15N",Yes,,4.79,604101,88120,,,,Spencer BBWM-LLTray3 0613,,,
LL1323,-28.67,2250.85,,364.74,79.87,,BBWMLLTray3,D5,Forest Floor litter,"13C, 15N",Yes,,4.75,604102,88121,,,,Spencer BBWM-LLTray3 0613,,,
LL1331,-26.51,2160.73,,67.3,64.24,,BBWMLLTray3,D6,Forest Floor litter,"13C, 15N",Yes,,4.38,604103,88122,,,,Spencer BBWM-LLTray3 0613,,,
LL1332,-26.88,2126.69,,56.77,71.32,,BBWMLLTray3,D7,Forest Floor litter,"13C, 15N",Yes,,4.4,604104,88123,,,,Spencer BBWM-LLTray3 0613,,,
BLANK,-29.49,2.06,Too small,,,Below detection,BBWMLLTray3,D8,empty tin,"13C, 15N",NO,,0,604105,88124,,,,Spencer BBWM-LLTray3 0613,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LL1401,-26.99,2381.15,,185.18,59.5,,BBWMLLTray4,A1,Forest Floor litter,"13C, 15N",Yes,,4.78,604110,87810,,,,Spencer BBWM-LLTray4 0613,,,
LL1403,-28.14,2099.02,,143.56,82.33,,BBWMLLTray4,A2,Forest Floor litter,"13C, 15N",Yes,,4.86,604111,87811,,,,Spencer BBWM-LLTray4 0613,,,
LL1411,-29.8,10.84,Too small,,,Below detection,BBWMLLTray4,A3,Forest Floor litter,"13C, 15N",Yes,,4.4,604112,87812,,,,Spencer BBWM-LLTray4 0613,,,
LL1413,-26.02,2294.05,,64.82,34.79,,BBWMLLTray4,A4,Forest Floor litter,"13C, 15N",Yes,,4.42,604113,87813,,,,Spencer BBWM-LLTray4 0613,,,
LL1421,-28.2,1928.9,,422.2,66.26,,BBWMLLTray4,A5,Forest Floor litter,"13C, 15N",Yes,,4.67,604114,87814,,,,Spencer BBWM-LLTray4 0613,,,
LL1423,-28.59,2315.8,,194.57,87.66,,BBWMLLTray4,A6,Forest Floor litter,"13C, 15N",Yes,,4.82,604115,87815,,,,Spencer BBWM-LLTray4 0613,,,
LL1431,-26.82,2337.57,,50.84,71.93,,BBWMLLTray4,A7,Forest Floor litter,"13C, 15N",Yes,,4.46,604116,87816,,,,Spencer BBWM-LLTray4 0613,,,
LL1432,-27.13,2077.43,,73.76,42.84,,BBWMLLTray4,A8,Forest Floor litter,"13C, 15N",Yes,,4.28,604117,87817,,,,Spencer BBWM-LLTray4 0613,,,
LL1441,-27.7,2040.76,,101.92,59.81,,BBWMLLTray4,A9,Forest Floor litter,"13C, 15N",Yes,,4.72,604118,87818,,,,Spencer BBWM-LLTray4 0613,,,
LL1442,-27.9,1815.33,,106.33,79.12,,BBWMLLTray4,A10,Forest Floor litter,"13C, 15N",Yes,,4.82,604119,87819,,,,Spencer BBWM-LLTray4 0613,,,
LL1443,-27.81,2294.05,,263.2,72.39,,BBWMLLTray4,A11,Forest Floor litter,"13C, 15N",Yes,,4.85,604120,87820,,,,Spencer BBWM-LLTray4 0613,,,
LL1447,-27.74,1604.42,,84.23,62.42,,BBWMLLTray4,A12,Forest Floor litter,"13C, 15N",Yes,,4.75,604121,87821,,,,Spencer BBWM-LLTray4 0613,,,
LL1448,-28.32,2272.31,,325.89,78.05,,BBWMLLTray4,B1,Forest Floor litter,"13C, 15N",Yes,,4.83,604122,87825,,,,Spencer BBWM-LLTray4 0613,,,
LL1449,-28.02,2250.6,,313.09,79.58,,BBWMLLTray4,B2,Forest Floor litter,"13C, 15N",Yes,,4.78,604123,87826,,,,Spencer BBWM-LLTray4 0613,,,
LL1501,-27.86,2250.6,,144.62,65.19,,BBWMLLTray4,B3,Forest Floor litter,"13C, 15N",Yes,,4.64,604124,87827,,,,Spencer BBWM-LLTray4 0613,,,
LL1503,-28.5,2228.89,,102.49,68.56,,BBWMLLTray4,B4,Forest Floor litter,"13C, 15N",Yes,,4.74,604125,87828,,,,Spencer BBWM-LLTray4 0613,,,
LL1511,-26.46,2207.21,,29.05,49.8,,BBWMLLTray4,B5,Forest Floor litter,"13C, 15N",Yes,,4.4,604126,87829,,,,Spencer BBWM-LLTray4 0613,,,
LL1513,-26.91,2185.54,,260.43,47.79,,BBWMLLTray4,B6,Forest Floor litter,"13C, 15N",Yes,,4.34,604127,87830,,,,Spencer BBWM-LLTray4 0613,,,
LL1521,-27.18,2381.15,,52.67,79.73,,BBWMLLTray4,B7,Forest Floor litter,"13C, 15N",Yes,,4.83,604128,87831,,,,Spencer BBWM-LLTray4 0613,,,
LL1523,-28.14,2120.62,,96.99,82.79,,BBWMLLTray4,B8,Forest Floor litter,"13C, 15N",Yes,,4.8,604129,87832,,,,Spencer BBWM-LLTray4 0613,,,
LL1531,-26.84,2142.24,,78.36,63.04,,BBWMLLTray4,B9,Forest Floor litter,"13C, 15N",Yes,,4.29,604130,87833,,,,Spencer BBWM-LLTray4 0613,,,
LL1532,-27.22,2142.24,,66.91,68.1,,BBWMLLTray4,B10,Forest Floor litter,"13C, 15N",Yes,,4.33,604131,87834,,,,Spencer BBWM-LLTray4 0613,,,
LL1601,-26.08,2337.57,,250.74,47.64,,BBWMLLTray4,B11,Forest Floor litter,"13C, 15N",Yes,,4.8,604132,87835,,,,Spencer BBWM-LLTray4 0613,,,
LL1603,-28.57,2038.61,,294.12,76.83,,BBWMLLTray4,B12,Forest Floor litter,"13C, 15N",Yes,,4.73,604133,87836,,,,Spencer BBWM-LLTray4 0613,,,
LL0611,-26.74,2185.54,,54.32,63.65,,BBWMLLTray4,C1,Forest Floor litter,"13C, 15N",Yes,,4.45,604134,87843,,,,Spencer BBWM-LLTray4 0613,,,
LL1613,-26.6,2142.24,,40.94,46.86,,BBWMLLTray4,C2,Forest Floor litter,"13C, 15N",Yes,,4.24,604135,87844,,,,Spencer BBWM-LLTray4 0613,,,
LL1621,-28.35,2337.57,,251.5,92.69,,BBWMLLTray4,C3,Forest Floor litter,"13C, 15N",Yes,,4.88,604136,87845,,,,Spencer BBWM-LLTray4 0613,,,
LL1623,-28.43,2272.31,,277.85,88.58,,BBWMLLTray4,C4,Forest Floor litter,"13C, 15N",Yes,,4.68,604137,87846,,,,Spencer BBWM-LLTray4 0613,,,
LL1631,-27.25,2250.6,,55.98,66.26,,BBWMLLTray4,C5,Forest Floor litter,"13C, 15N",Yes,,4.44,604138,87847,,,,Spencer BBWM-LLTray4 0613,,,
RLL1631,-27.17,2315.8,,55.52,67.64,,BBWMLLTray4,C6,Forest Floor litter,"13C, 15N",Yes,,4.54,604139,87848,,,,Spencer BBWM-LLTray4 0613,,,
LL1632,-26.78,2163.88,,54.14,59.04,,BBWMLLTray4,C7,Forest Floor litter,"13C, 15N",Yes,,4.38,604140,87849,,,,Spencer BBWM-LLTray4 0613,,,
LL1641,-28.02,2142.24,,94.71,69.64,,BBWMLLTray4,C8,Forest Floor litter,"13C, 15N",Yes,,4.71,604141,87850,,,,Spencer BBWM-LLTray4 0613,,,
LL1642,-28.06,2077.43,,193.53,74.08,,BBWMLLTray4,C9,Forest Floor litter,"13C, 15N",Yes,,4.88,604142,87851,,,,Spencer BBWM-LLTray4 0613,,,
LL1643,-29.26,2207.21,,142.75,85.38,,BBWMLLTray4,C10,Forest Floor litter,"13C, 15N",Yes,,4.82,604143,87852,,,,Spencer BBWM-LLTray4 0613,,,
LL1647,-27.89,2207.21,,53.65,86.9,,BBWMLLTray4,C11,Forest Floor litter,"13C, 15N",Yes,,4.65,604144,87853,,,,Spencer BBWM-LLTray4 0613,,,
LL1648,-28.39,2032.14,,166.42,75.61,,BBWMLLTray4,C12,Forest Floor litter,"13C, 15N",Yes,,4.74,604145,87854,,,,Spencer BBWM-LLTray4 0613,,,
LL1649,-28.45,2185.54,,353.68,82.33,,BBWMLLTray4,D1,Forest Floor litter,"13C, 15N",Yes,,4.68,604146,87858,,,,Spencer BBWM-LLTray4 0613,,,
LL1701,-27.24,2337.57,,165.57,76.83,,BBWMLLTray4,D2,Forest Floor litter,"13C, 15N",Yes,,4.78,604147,87859,,,,Spencer BBWM-LLTray4 0613,,,
LL1703,-28.93,2228.89,,156.41,74.69,,BBWMLLTray4,D3,Forest Floor litter,"13C, 15N",Yes,,4.66,604148,87860,,,,Spencer BBWM-LLTray4 0613,,,
LL1711,-25.47,2142.24,,73.71,29.98,,BBWMLLTray4,D4,Forest Floor litter,"13C, 15N",Yes,,4.36,604149,87861,,,,Spencer BBWM-LLTray4 0613,,,
LL1713,-24.84,2185.54,,201.54,20.8,,BBWMLLTray4,D5,Forest Floor litter,"13C, 15N",Yes,,4.42,604150,87862,,,,Spencer BBWM-LLTray4 0613,,,
LL1721,-28.15,2185.54,,116.45,95.12,,BBWMLLTray4,D6,Forest Floor litter,"13C, 15N",Yes,,4.63,604151,87863,,,,Spencer BBWM-LLTray4 0613,,,
LL1723,-27.56,2359.35,,74.67,93.9,,BBWMLLTray4,D7,Forest Floor litter,"13C, 15N",Yes,,4.91,604152,87864,,,,Spencer BBWM-LLTray4 0613,,,
LL1731,-25.5,2142.24,,193.53,31.53,,BBWMLLTray4,D8,Forest Floor litter,"13C, 15N",Yes,,4.41,604153,87865,,,,Spencer BBWM-LLTray4 0613,,,
LL1732,-27.27,2142.24,,69.48,66.88,,BBWMLLTray4,D9,Forest Floor litter,"13C, 15N",Yes,,4.53,604154,87866,,,,Spencer BBWM-LLTray4 0613,,,
LL1801,-27.72,2272.31,,128.18,52.26,,BBWMLLTray4,D10,Forest Floor litter,"13C, 15N",Yes,,4.76,604155,87867,,,,Spencer BBWM-LLTray4 0613,,,
LL1803,-28.93,2142.24,,111.4,56.58,,BBWMLLTray4,D11,Forest Floor litter,"13C, 15N",Yes,,4.67,604156,87868,,,,Spencer BBWM-LLTray4 0613,,,
LL1811,-26.51,2142.24,,78.38,47.64,,BBWMLLTray4,D12,Forest Floor litter,"13C, 15N",Yes,,4.49,604157,87869,,,,Spencer BBWM-LLTray4 0613,,,
LL1813,-26.81,2272.31,,105.11,34.79,,BBWMLLTray4,E1,Forest Floor litter,"13C, 15N",Yes,,4.52,604158,87873,,,,Spencer BBWM-LLTray4 0613,,,
LL1821,-29.56,2185.54,,123,62.73,,BBWMLLTray4,E2,Forest Floor litter,"13C, 15N",Yes,,4.75,604159,87874,,,,Spencer BBWM-LLTray4 0613,,,
LL1823,-29.18,2099.02,,155.52,63.34,,BBWMLLTray4,E3,Forest Floor litter,"13C, 15N",Yes,,4.76,604160,87875,,,,Spencer BBWM-LLTray4 0613,,,
LL1831,-25.79,2250.6,,62.75,40.06,,BBWMLLTray4,E4,Forest Floor litter,"13C, 15N",Yes,,4.39,604161,87876,,,,Spencer BBWM-LLTray4 0613,,,
LL1832,-27.02,2163.88,,80.15,59.35,,BBWMLLTray4,E5,Forest Floor litter,"13C, 15N",Yes,,4.31,604162,87877,,,,Spencer BBWM-LLTray4 0613,,,
LL1841,-28.74,2099.02,,18.23,47.64,,BBWMLLTray4,E6,Forest Floor litter,"13C, 15N",Yes,,4.83,604163,87878,,,,Spencer BBWM-LLTray4 0613,,,
LL1842,-29.07,2359.35,,83.16,37.74,,BBWMLLTray4,E7,Forest Floor litter,"13C, 15N",Yes,,4.87,604164,87879,,,,Spencer BBWM-LLTray4 0613,,,
LL1843,-28.73,2185.54,,97,60.89,,BBWMLLTray4,E8,Forest Floor litter,"13C, 15N",Yes,,4.69,604165,87880,,,,Spencer BBWM-LLTray4 0613,,,
LL1847,-27.65,2045.07,,25.99,59.81,,BBWMLLTray4,E9,Forest Floor litter,"13C, 15N",Yes,,4.73,604166,87881,,,,Spencer BBWM-LLTray4 0613,,,
LL1848,-29.29,2337.57,,39.1,54.42,,BBWMLLTray4,E10,Forest Floor litter,"13C, 15N",Yes,,4.85,604167,87882,,,,Spencer BBWM-LLTray4 0613,,,
LL1849,-30.43,2272.31,,74.96,56.42,,BBWMLLTray4,E11,Forest Floor litter,"13C, 15N",Yes,,4.77,604168,87883,,,,Spencer BBWM-LLTray4 0613,,,
LL1901,-26.98,2402.97,,277.99,55.35,,BBWMLLTray4,E12,Forest Floor litter,"13C, 15N",Yes,,4.82,604169,87884,,,,Spencer BBWM-LLTray4 0613,,,
LL1903,-28.83,2381.15,,50,58.58,,BBWMLLTray4,F1,Forest Floor litter,"13C, 15N",Yes,,4.88,604170,87887,,,,Spencer BBWM-LLTray4 0613,,,
LL1911,-26.12,2163.88,,63.02,35.26,,BBWMLLTray4,F2,Forest Floor litter,"13C, 15N",Yes,,4.33,604171,87888,,,,Spencer BBWM-LLTray4 0613,,,
LL1913,-26.72,2250.6,,188.09,28.42,,BBWMLLTray4,F3,Forest Floor litter,"13C, 15N",Yes,,4.45,604172,87889,,,,Spencer BBWM-LLTray4 0613,,,
LL1921,-28.55,2359.35,,117.95,64.27,,BBWMLLTray4,F4,Forest Floor litter,"13C, 15N",Yes,,4.81,604173,87890,,,,Spencer BBWM-LLTray4 0613,,,
LL1923,-28.59,2294.05,,107.84,81.41,,BBWMLLTray4,F5,Forest Floor litter,"13C, 15N",Yes,,4.82,604174,87891,,,,Spencer BBWM-LLTray4 0613,,,
LL1931,-25.04,2402.97,,174.18,36.81,,BBWMLLTray4,F6,Forest Floor litter,"13C, 15N",Yes,,4.78,604175,87892,,,,Spencer BBWM-LLTray4 0613,,,
LL1932,-27.07,2047.23,,63.97,68.26,,BBWMLLTray4,F7,Forest Floor litter,"13C, 15N",Yes,,4.27,604176,87893,,,,Spencer BBWM-LLTray4 0613,,,
RLL1932,-27.06,2120.62,,64.02,71.47,,BBWMLLTray4,F8,Forest Floor litter,"13C, 15N",Yes,,4.52,604177,87894,,,,Spencer BBWM-LLTray4 0613,,,
BLANK,-32.38,1.88,Too small,,,Below detection,BBWMLLTray4,F9,EMPTY TIN,"13C, 15N",NO,,0,604178,87895,,,,Spencer BBWM-LLTray4 0613,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LL1402,-27.15,2358.51,Contains more carbon than the largest standard,309.72,70.73,,Spencer Tray BBWMLL,A1,,,,,4.17,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.47920955
LL1404,-26.43,2094.66,,186.38,71.76,,Spencer Tray BBWMLL,A2,,,,,4.16,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.434278943
LL1405,-24.4,2143.91,,332.39,41.68,,Spencer Tray BBWMLL,A3,,,,,4.17,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.487466966
LL1412,-23.9,2277,,79.01,50.31,,Spencer Tray BBWMLL,A4,,,,,4.18,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.395130157
LL1414,-23.61,2139.94,,201.25,37.37,,Spencer Tray BBWMLL,A5,,,,,4.12,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.439699051
LL1415,-24.32,2215.43,,229.79,49.23,,Spencer Tray BBWMLL,A6,,,,,3.97,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.450096085
LL1422,-26.34,2292.48,,288.2,65.86,,Spencer Tray BBWMLL,A7,,,,,4.35,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.471375781
LL1424,-26.51,2191.91,,160.26,80.14,,Spencer Tray BBWMLL,A8,,,,,4.31,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.424756061
LL1425,-27.46,2134.07,,281.01,58.1,,Spencer Tray BBWMLL,A9,,,,,4.41,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.468754383
LL1433,-26.15,2193.8,,269.71,53.24,,Spencer Tray BBWMLL,A10,,,,,4.25,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.464639479
LL1434,-25.56,2077.67,,123.78,43.42,,Spencer Tray BBWMLL,A11,,,,,4,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.411458279
LL1435,-25.6,2110.44,,51.44,48.23,,Spencer Tray BBWMLL,A12,,,,,4.04,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.385072247
LL1502,-28.57,1962.7,,60.6,66.91,,Spencer Tray BBWMLL,B1,,,,,4.28,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.388415733
LL1504,-29.16,1760.36,,184.94,38.68,,Spencer Tray BBWMLL,B2,,,,,4.11,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.433752665
LL1505,-29.35,2061.87,,99.21,71.14,,Spencer Tray BBWMLL,B3,,,,,4.07,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.402499154
LL1512,-26.66,2156.16,,99.6,48.1,,Spencer Tray BBWMLL,B4,,,,,3.99,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.402640957
LL1514,-26.71,2115.81,,58.44,58.13,,Spencer Tray BBWMLL,B5,,,,,4.18,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.387626429
LL1515,-27.87,2451.59,Contains more carbon than the largest standard,70.42,74.78,,Spencer Tray BBWMLL,B6,,,,,3.98,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.39199813
LL1522,-28.05,2024.23,,45.22,86.07,,Spencer Tray BBWMLL,B7,,,,,4.18,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.382803014
LL1534,-28.59,1998.28,,66.22,78.37,,Spencer Tray BBWMLL,B8,,,,,4.03,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.390465764
RLL1524,-28.7,2077.94,,65.76,82.07,,Spencer Tray BBWMLL,B9,,,,,4.33,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.390295702
LL1525,-28.06,1921.37,,34.17,87.3,,Spencer Tray BBWMLL,B10,,,,,4.07,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.378774207
LL1533,-27.02,2185.52,,68.55,54.96,,Spencer Tray BBWMLL,B11,,,,,4.14,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.391316695
LL1534,-26.94,2074.82,,59.82,54.81,,Spencer Tray BBWMLL,B12,,,,,4.02,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.388130753
LL1535,-27.17,2142.63,,53.74,49.15,,Spencer Tray BBWMLL,C1,,,,,3.88,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.385912474
LL1602,-29.02,1949.95,,147.88,59.78,,Spencer Tray BBWMLL,C2,,,,,4.08,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.420244608
LL1604,-28.72,1966.19,,126.96,60.12,,Spencer Tray BBWMLL,C3,,,,,4.19,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.412615597
LL1605,-28.39,1936.15,,132.53,64.83,,Spencer Tray BBWMLL,C4,,,,,4.12,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.414649523
LL1612,-26.79,1978.81,,100.99,53.82,,Spencer Tray BBWMLL,C5,,,,,3.94,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.403147636
LL1614,-26.6,2114.68,,121.66,48.09,,Spencer Tray BBWMLL,C6,,,,,4.18,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.410685663
LL1615,-26.47,1976.06,,76.79,49.38,,Spencer Tray BBWMLL,C7,,,,,4.16,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.394319566
LL1622,-28.61,1908.23,,80.96,76.85,,Spencer Tray BBWMLL,C8,,,,,4.12,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.395841738
LL1624,-28.16,1869.41,,39.89,73.85,,Spencer Tray BBWMLL,C9,,,,,4.35,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.380858723
LL1625,-28.84,1793.99,,46.93,72.25,,Spencer Tray BBWMLL,C10,,,,,4.44,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.38342906
LL1633,-27.64,2075.82,,268.62,46.67,,Spencer Tray BBWMLL,C11,,,,,4.08,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.464241822
LL1634,-27.08,1994.16,,50.08,54.98,,Spencer Tray BBWMLL,C12,,,,,4.17,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.384576425
LL1635,-27.35,2111.83,,92.38,56.78,,Spencer Tray BBWMLL,D1,,,,,3.9,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.400007151
LL1702,-29.2,2137.25,,27.1,77.52,,Spencer Tray BBWMLL,D2,,,,,4.38,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.376194028
LL1704,-28.92,1770.01,,603.29,52.81,,Spencer Tray BBWMLL,D3,,,,,4.06,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.585996941
LL1705,-29.44,2176.26,,169.34,90.79,,Spencer Tray BBWMLL,D4,,,,,4.07,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.428067515
LL1712,-26.25,1600.84,,150.44,38.65,,Spencer Tray BBWMLL,D5,,,,,3.9,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.421179084
LL1714,-27.06,2144.96,,114.14,40.19,,Spencer Tray BBWMLL,D6,,,,,4.27,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.407944307
LL1715,-25.64,2117.72,,160.6,22.04,,Spencer Tray BBWMLL,D7,,,,,4.01,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.424882414
RLL1715,-25.92,2324.74,Contains more carbon than the largest standard,160.27,23.88,,Spencer Tray BBWMLL,D8,,,,,4.26,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.424763124
LL1722,-28.44,1990.68,,58.24,88.25,,Spencer Tray BBWMLL,D9,,,,,4.11,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.387554294
LL1724,-28.41,2058.22,,31.24,84.51,,Spencer Tray BBWMLL,D10,,,,,4.35,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.377702842
LL1725,-27.5,2019.24,,75.6,95.19,,Spencer Tray BBWMLL,D11,,,,,4.16,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.393885698
LL1733,-26.49,2213.57,,125.95,44.72,,Spencer Tray BBWMLL,D12,,,,,4.13,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.412247321
LL1734,-26.72,1862.93,,57.53,51.3,,Spencer Tray BBWMLL,E1,,,,,4.21,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.38729691
LL1735,-25.74,2160.12,,146.18,34.79,,Spencer Tray BBWMLL,E2,,,,,3.96,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.419625908
LL1802,-29.4,1607.56,,161.75,39.71,,Spencer Tray BBWMLL,E3,,,,,4.3,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.425302303
LL1804,-30.07,2149.61,,102.24,51.14,,Spencer Tray BBWMLL,E4,,,,,4.26,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.403604434
LL1805,-28.69,2020,,176.34,50.3,,Spencer Tray BBWMLL,E5,,,,,4.37,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.430620716
LL1812,-26.2,1896.54,,88.75,44.17,,Spencer Tray BBWMLL,E6,,,,,4.05,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.398684327
LL1814,-26.72,2227,,106.38,43.48,,Spencer Tray BBWMLL,E7,,,,,4.31,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.405111912
LL1815,-26.58,2211.83,,81.75,59.18,,Spencer Tray BBWMLL,E8,,,,,4.33,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.396130649
LL1822,-28.49,1933.64,,69.03,65.56,,Spencer Tray BBWMLL,E9,,,,,4.13,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.391489242
LL1824,-27.53,1618.17,,57.95,66.56,,Spencer Tray BBWMLL,E10,,,,,4.07,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.387449307
LL1825,-28.53,1823.23,,69.55,69.99,,Spencer Tray BBWMLL,E11,,,,,4.17,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.3916814
