Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
242,49,0-5cm,0-5cm,0-5cm,B,mineral,,," 108,350 ",," 108,350 ",0.72,10.56,782,11442,,,,,
243,49,5-25cm,5-25cm,5-25cm,B,mineral,,," 274,403 ",," 274,403 ",0.62,9.06,1700,24870,,,,,
244,49,25-C,lower mineral,25-C,B,mineral,,," 536,316 ",," 536,316 ",0.32,4.47,1720,23981,,,,,
245,49,C,lower mineral,C,C,mineral,,," 1,598,674 ",," 1,598,674 ",0.04,0.46,645,7314,,,,,
246,50,O,O,O,O,organic,,," 191,574 "," 5,931 "," 197,505 ",1.37,29.14,2619,55825,38,2886,2657,58711,22
247,50,0-5cm,0-5cm,0-5cm,B,mineral,,," 87,458 ",," 87,458 ",0.57,10.19,495,8911,,,,,
248,50,5-25cm,5-25cm,5-25cm,B,mineral,,," 772,403 ",," 772,403 ",0.26,5.56,1994,42981,,,,,
249,50,25-C,lower mineral,25-C,B,mineral,,," 359,157 ",," 359,157 ",0.13,2.36,465,8478,,,,,
250,50,C,lower mineral,C,C,mineral,,," 1,105,644 ",," 1,105,644 ",0.07,1.24,756,13750,,,,,
251,51,O,O,O,O,organic,,," 137,614 "," 3,307 "," 140,921 ",1.26,33.16,1731,45634,24,1666,1755,47300,27
252,51,0-5cm,0-5cm,0-5cm,B,mineral,,," 81,193 ",," 81,193 ",0.20,4.43,164,3600,,,,,
253,51,5-25cm,5-25cm,5-25cm,B,mineral,,," 1,583,225 ",," 1,583,225 ",0.08,1.26,1221,19920,,,,,
254,51,25-C,lower mineral,25-C,B,mineral,,," 1,499,618 ",," 1,499,618 ",0.04,0.58,573,8735,,,,,
255,51,C,lower mineral,C,C,mineral,,," 5,300,923 ",," 5,300,923 ",0.01,0.13,740,6920,,,,,
256,52,O,O,O,O,organic,,," 140,395 ", 746 ," 141,141 ",0.83,16.83,1168,23635,7,342,1175,23977,20
257,52,0-5cm,0-5cm,0-5cm,B,mineral,,," 418,413 ",," 418,413 ",0.09,1.42,358,5961,,,,,
258,52,5-25cm,5-25cm,5-25cm,B,mineral,,," 961,072 ",," 961,072 ",0.10,2.10,974,20192,,,,,
259,52,25-50cm,lower mineral,25-C,B,mineral,,," 424,567 ",," 424,567 ",0.19,2.74,800,11613,,,,,
259A,52,O,O,O,O,organic,,," 390,906 "," 19,768 "," 410,674 ",0.88,17.58,3423,68733,108,9080,3532,77813,22
260,52,50-C,lower mineral,25-C,B,mineral,,," 904,514 ",," 904,514 ",0.05,0.63,465,5689,,,,,
260A,52,C,lower mineral,C,C,mineral,,," 3,677,014 ",," 3,677,014 ",0.02,0.11,560,4206,,,,,
