Sample#,Pit,Increment,Increment 2,Increment 3,Horizon,Soil material,trt,veg, OD fine earth kg/ha , OD COF kg/ha , Total earth kg/ha ,TN %,TC %,fine TN kg/ha,fine TC kg/ha,cof TN kg/ha,cof TC kg/ha,total TN kg/ha,total TC kg/ha,total C/N ratio
103,21,5-25cm,5-25cm,5-25cm,B,mineral,WB,HW," 753,678 ",," 753,678 ",0.36,7.11,2733,53588,,,,,
104,21,25-C,lower mineral,25-C,B,mineral,WB,HW," 358,962 ",," 358,962 ",0.13,2.59,462,9310,,,,,
105,21,C,lower mineral,C,C,mineral,WB,HW," 3,474,892 ",," 3,474,892 ",0.07,1.35,2309,46747,,,,,
106,22,O,O,O,O,organic,WB,HW," 148,160 "," 10,418 "," 158,577 ",1.61,40.31,2380,59717,135,5039,2515,64756,26
107,22,0-5cm,0-5cm,0-5cm,B,mineral,WB,HW," 146,091 ",," 146,091 ",0.36,8.00,532,11687,,,,,
108,22,5-25cm,5-25cm,5-25cm,B,mineral,WB,HW," 953,649 ",," 953,649 ",0.32,6.64,3026,63288,,,,,
109,22,25-C,lower mineral,25-C,B,mineral,WB,HW," 511,580 ",," 511,580 ",0.24,4.67,1203,23912,,,,,
110,22,C,lower mineral,C,C,mineral,WB,HW," 2,806,740 ",," 2,806,740 ",0.17,3.39,4815,95149,,,,,
111,23,O,O,O,O,organic,WB,HW," 44,641 "," 1,960 "," 46,601 ",1.37,28.85,612,12877,25,948,637,13825,22
112,23,0-5cm,0-5cm,0-5cm,B,mineral,WB,HW," 274,930 ",," 274,930 ",0.37,7.22,1025,19861,,,,,
113,23,5-25cm,5-25cm,5-25cm,B,mineral,WB,HW," 755,473 ",," 755,473 ",0.21,4.03,1608,30441,,,,,
114,23,25-50cm,lower mineral,25-C,B,mineral,WB,HW," 1,537,289 ",," 1,537,289 ",0.14,2.37,2091,36417,,,,,
114A,23,50-C,lower mineral,25-C,B,mineral,WB,HW," 407,748 ",," 407,748 ",0.12,2.06,489,8382,,,,,
115,23,C,lower mineral,C,C,mineral,WB,HW," 1,929,749 ",," 1,929,749 ",0.08,1.25,1509,24161,,,,,
116,24,O,O,O,O,organic,WB,HW," 239,376 "," 7,889 "," 247,266 ",1.29,30.08,3086,72003,125,3860,3211,75863,24
117,24,0-5cm,0-5cm,0-5cm,B,mineral,WB,HW," 129,781 ",," 129,781 ",0.40,8.28,521,10743,,,,,
118,24,5-25cm,5-25cm,5-25cm,B,mineral,WB,HW," 162,243 ",," 162,243 ",0.39,8.08,640,13103,,,,,
121,25,O,O,O,O,organic,WB,HW," 83,126 "," 81,499 "," 164,625 ",1.43,31.31,1188,26025,1115,39240,2303,65265,28
122,25,0-5cm,0-5cm,0-5cm,B,mineral,WB,HW," 151,053 ",," 151,053 ",0.51,8.93,777,13490,,,,,
123,25,5-25cm,5-25cm,5-25cm,B,mineral,WB,HW," 839,291 ",," 839,291 ",0.43,8.33,3605,69916,,,,,
124,25,25-C,lower mineral,25-C,B,mineral,WB,HW," 179,319 ",," 179,319 ",0.22,4.19,387,7521,,,,,
125,25,C,lower mineral,C,C,mineral,WB,HW," 2,830,897 ",," 2,830,897 ",0.11,2.18,3157,61699,,,,,
126,26,O,O,O,O,organic,WB,SW," 176,853 "," 3,215 "," 180,068 ",1.50,38.35,2650,67820,30,1668,2680,69488,26
127,26,0-5cm,0-5cm,0-5cm,B,mineral,WB,SW," 251,159 ",," 251,159 ",0.43,9.45,1070,23725,,,,,
128,26,5-25cm,5-25cm,5-25cm,B,mineral,WB,SW," 982,310 ",," 982,310 ",0.43,9.30,4188,91343,,,,,
129,26,25-C,lower mineral,25-C,B,mineral,WB,SW," 415,576 ",," 415,576 ",0.33,7.34,1376,30486,,,,,
130,26,C,lower mineral,C,C,mineral,WB,SW," 2,927,718 ",," 2,927,718 ",0.18,4.22,5352,123657,,,,,
131,27,O,O,O,O,organic,WB,SW," 167,689 "," 3,394 "," 171,083 ",1.20,27.62,2011,46310,44,1642,2055,47951,23
132,27,0-5cm,0-5cm,0-5cm,B,mineral,WB,SW," 210,400 ",," 210,400 ",0.45,9.30,955,19563,,,,,
133,27,5-25cm,5-25cm,5-25cm,B,mineral,WB,SW," 631,905 ",," 631,905 ",0.33,6.68,2113,42198,,,,,
135,27,C,lower mineral,C,C,mineral,WB,SW," 1,999,439 ",," 1,999,439 ",0.23,4.56,4554,91265,,,,,
136,28,O,O,O,O,organic,WB,SW," 348,116 "," 6,426 "," 354,543 ",1.55,32.26,5401,112288,77,3099,5477,115387,21
