sample_ID,d13C,C_Amount_ug,d13C_Comment,d15N,N_Amount_ug,d15N_Comment,Tray Name,Well Id,Type_of_Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,source_file
C99,-27.74,320.64,,-5.88,2.42,Too small,BBWM WOOD 1 Under 8mg,H10,WOOD,"13C, 15N",NO,,0.65,417043,136372,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C100,-25.02,887.59,,0.61,4.94,Too small,BBWM WOOD 1 Under 8mg,H11,WOOD,"13C, 15N",NO,,1.85,417044,136373,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C102,-25.5,378.74,,1.3,2.51,Too small,BBWM WOOD 1 Under 8mg,H12,WOOD,"13C, 15N",NO,,0.65,417045,136374,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C103,-26.06,1099.72,,-0.76,3.62,Too small,BBWM WOOD 2 Under 8mg,A1,WOOD,"13C, 15N",NO,,2.23,417046,136378,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C104,-28.57,1202.01,,-3.52,4.81,Too small,BBWM WOOD 2 Under 8mg,A2,WOOD,"13C, 15N",NO,,2.47,417047,136379,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C105,-26.51,550.14,,-4.22,2.9,Too small,BBWM WOOD 2 Under 8mg,A3,WOOD,"13C, 15N",NO,,1.17,417048,136380,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C106,-27.19,169.45,,-4.14,2.24,Too small,BBWM WOOD 2 Under 8mg,A4,WOOD,"13C, 15N",NO,,0.31,417049,136381,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C107,-26.19,889.7,,-2.15,3.08,Too small,BBWM WOOD 2 Under 8mg,A5,WOOD,"13C, 15N",NO,,1.85,417050,136382,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C108,-27.9,93.98,Precision decreases for samples containing less than 100ugC,0.41,1.9,Too small,BBWM WOOD 2 Under 8mg,A6,WOOD,"13C, 15N",NO,,0.12,417051,136383,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C109,-29.65,737.44,,2.51,5.44,Too small,BBWM WOOD 2 Under 8mg,A7,WOOD,"13C, 15N",NO,,1.56,417052,136384,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C110,-27.52,402.37,,2.43,2.65,Too small,BBWM WOOD 2 Under 8mg,A8,WOOD,"13C, 15N",NO,,0.75,417053,136385,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C111,-28.09,260.26,,4.96,1.98,Too small,BBWM WOOD 2 Under 8mg,A9,WOOD,"13C, 15N",NO,,0.49,417054,136386,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C112,-25.88,275.37,,-5.61,2.93,Too small,BBWM WOOD 2 Under 8mg,A10,WOOD,"13C, 15N",NO,,0.52,417055,136387,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C113,-25.24,1036.89,,-2.93,4.24,Too small,BBWM WOOD 2 Under 8mg,A11,WOOD,"13C, 15N",NO,,2.03,417056,136388,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C114,-26.01,318.49,,1.34,2.02,Too small,BBWM WOOD 2 Under 8mg,A12,WOOD,"13C, 15N",NO,,0.5,417057,136389,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
