sample_ID,d13C,C_Amount_ug,d13C_Comment,d15N,N_Amount_ug,d15N_Comment,Tray Name,Well Id,Type_of_Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,source_file
C135,-27.11,73.77,Precision decreases for samples containing less than 100ugC,-3.02,1.67,Too small,BBWM WOOD 2 Under 8mg,C9,WOOD,"13C, 15N",NO,,0.13,417078,136415,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C136,-27.66,1837.69,,2.11,6.66,Too small,BBWM WOOD 2 Under 8mg,C10,WOOD,"13C, 15N",NO,,3.74,417079,136416,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C137,-25.7,994.92,,0.79,4.92,Too small,BBWM WOOD 2 Under 8mg,C11,WOOD,"13C, 15N",NO,,2.02,417080,136417,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C138,-25.87,1746.13,,2.92,5.98,Too small,BBWM WOOD 2 Under 8mg,C12,WOOD,"13C, 15N",NO,,3.53,417081,136418,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C139,-28.99,115.03,,-4.21,2.2,Too small,BBWM WOOD 2 Under 8mg,D1,WOOD,"13C, 15N",NO,,0.14,417082,136425,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C140,-25.2,686.49,,-1.17,3.02,Too small,BBWM WOOD 2 Under 8mg,D2,WOOD,"13C, 15N",NO,,1.47,417083,136426,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C141,-25.4,2748.17,,-1.11,10.41,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D3,WOOD,"13C, 15N",NO,,5.6,417084,136427,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C142,-26.99,3345.62,,-2.18,11.14,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D4,WOOD,"13C, 15N",NO,,6.55,417085,136428,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C146,-27.59,3908.28,,-0.3,11.32,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D5,WOOD,"13C, 15N",NO,,7.97,417086,136429,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C150,-25.65,2134.42,,-3.12,7.39,Too small,BBWM WOOD 2 Under 8mg,D6,WOOD,"13C, 15N",NO,,4.24,417087,136430,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C152,-27.8,2591.34,,-1.62,9.32,Too small,BBWM WOOD 2 Under 8mg,D7,WOOD,"13C, 15N",NO,,5.25,417088,136431,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C155,-28.9,2532.25,,-2.92,9.57,Too small,BBWM WOOD 2 Under 8mg,D8,WOOD,"13C, 15N",NO,,5.26,417089,136432,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C157,-28.22,1032.7,,-2.18,6.54,Too small,BBWM WOOD 2 Under 8mg,D9,WOOD,"13C, 15N",NO,,1.93,417090,136433,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C161,-27.55,2728.62,,-0.34,8.42,Too small,BBWM WOOD 2 Under 8mg,D10,WOOD,"13C, 15N",NO,,5.57,417091,136434,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C162,-26.93,3666.34,,-0.81,11.99,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,D11,WOOD,"13C, 15N",NO,,7.16,417092,136435,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C163,-25.33,1584.54,,-1.69,7.81,Too small,BBWM WOOD 2 Under 8mg,D12,WOOD,"13C, 15N",NO,,3.28,417093,136436,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C168,-24.97,530.91,,1.27,2.87,Too small,BBWM WOOD 2 Under 8mg,E1,WOOD,"13C, 15N",NO,,0.94,417094,136440,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C171,-26.32,2630.65,,-0.5,9.39,Too small,BBWM WOOD 2 Under 8mg,E2,WOOD,"13C, 15N",NO,,5.27,417095,136441,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C172,-26.68,1444.61,,-0.51,11.2,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E3,WOOD,"13C, 15N",NO,,2.88,417096,136442,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C173,-27.72,3741.09,,-1.69,10.05,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E4,WOOD,"13C, 15N",NO,,7.65,417097,136443,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C175,-25.73,3703.75,,0.25,18.04,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E5,WOOD,"13C, 15N",NO,,7.75,417098,136444,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C176,-29.93,133.04,,0.15,1.91,Too small,BBWM WOOD 2 Under 8mg,E6,WOOD,"13C, 15N",NO,,0.08,417099,136445,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C179,-27.57,967.61,,-0.61,5.53,Too small,BBWM WOOD 2 Under 8mg,E7,WOOD,"13C, 15N",NO,,1.9,417100,136446,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C181,-28.54,1529.08,,1.39,9.02,Too small,BBWM WOOD 2 Under 8mg,E8,WOOD,"13C, 15N",NO,,3.22,417101,136447,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C184,-26.84,573.63,,-0.16,3.78,Too small,BBWM WOOD 2 Under 8mg,E9,WOOD,"13C, 15N",NO,,1.19,417102,136448,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C185,-29.05,,Too large - estimated Delta PDB-total C will be incorrect,3.65,16.89,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E10,WOOD,"13C, 15N",NO,,8.35,417103,136449,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C187,-25.99,,Too large - estimated Delta PDB-total C will be incorrect,1.18,15.31,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E11,WOOD,"13C, 15N",NO,,8.91,417104,136450,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C190,-27.41,1756.32,,1.6,12.53,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,E12,WOOD,"13C, 15N",NO,,3.58,417105,136451,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
,,,,,,,,,,,,,,,,
Sample ID,,,,d15N,N Amount (ug),d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,Amount (mg),OurLabID,Analysis Number,
C3,,,,-0.72,18.75,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A1,WOOD,"13C, 15N",NO,,16.69,416902,136051,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
C4,,,,-1.76,22.1,,BBWM WOOD 3 over 8mg,A2,WOOD,"13C, 15N",NO,,15.41,416903,136052,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
C6,,,,-3.78,19.02,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A3,WOOD,"13C, 15N",NO,,14.62,416904,136053,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
C10,,,,-1.68,18.22,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A4,WOOD,"13C, 15N",NO,,15.15,416905,136054,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
C28,,,,-4.36,14.72,Precision decreases for samples containing less than 20ugN,BBWM WOOD 3 over 8mg,A5,WOOD,"13C, 15N",NO,,11.07,416906,136055,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
C29,,,,0.25,27.52,,BBWM WOOD 3 over 8mg,A6,WOOD,"13C, 15N",NO,,25.57,416907,136056,Copy of Spencer BBWM Wood3 - samples large than 8mg 0512
