sample_type,sample_number,watershed,forest,plot,horizon,od_weight_g,date,year,template_cm2,no_templates,area_cm2,notes,sourcefile,skip
COF,1001,EB,HW,1,O,13.99,7/16/12,2012,100,3,300,,1DIC2012,
COF,1002,EB,HW,2,O,33.58,7/16/12,2012,100,3,300,,1DIC2012,
COF,1003,EB,HW,3,O,25.1,7/16/12,2012,100,3,300,,1DIC2012,
COF,1004,EB,HW,4,O,6.89,7/16/12,2012,100,3,300,,1DIC2012,
COF,1005,EB,HW,5,O,11.48,7/16/12,2012,100,3,300,,1DIC2012,
COF,1011,EB,SW,1,O,50.64,7/16/12,2012,100,3,150,,1DIC2012,
COF,1012,EB,SW,2,O,60.27,7/16/12,2012,100,3,300,,1DIC2012,
COF,1013,EB,SW,3,O,8.04,7/16/12,2012,100,3,150,,1DIC2012,
COF,1014,EB,SW,4,O,7.73,7/16/12,2012,100,3,150,,1DIC2012,
COF,1015,EB,SW,5,O,13.23,7/16/12,2012,100,3,150,,1DIC2012,
COF,1021,WB,HW,1,O,4.71,7/18/12,2012,100,3,300,,1DIC2012,
COF,1022,WB,HW,2,O,8.28,7/18/12,2012,100,3,300,,1DIC2012,
COF,1023,WB,HW,3,O,1.52,7/18/12,2012,100,3,300,,1DIC2012,
COF,1024,WB,HW,4,O,2.65,7/18/12,2012,100,3,300,,1DIC2012,
COF,1025,WB,HW,5,O,21.61,7/18/12,2012,100,3,300,,1DIC2012,
COF,1031,WB,SW,1,O,3.9,7/18/12,2012,100,3,300,,1DIC2012,
COF,1032,WB,SW,2,O,14.43,7/18/12,2012,100,3,300,,1DIC2012,
COF,1033,WB,SW,3,O,35.07,7/25/12,2012,100,3,300,,1DIC2012,
COF,1034,WB,SW,4,O,14.19,7/13/12,2012,100,3,150,,1DIC2012,
COF,1035,WB,SW,5,O,44.34,7/25/12,2012,100,3,300,,1DIC2012,
COF,1041,EB,RT,1,O,27.43,7/18/12,2012,100,3,300,,1DIC2012,
