sample_type,sample_number,watershed,forest,plot,horizon,od_weight_g,date,year,template_cm2,no_templates,area_cm2,notes,sourcefile,skip
COF,1042,EB,RT,2,O,25.64,7/25/12,2012,100,3,300,,1DIC2012,
COF,1043,EB,RT,3,O,23.59,7/13/12,2012,100,3,300,,1DIC2012,
COF,1047,WB,RT,1,O,12.37,7/13/12,2012,100,3,300,,1DIC2012,
COF,1048,WB,RT,2,O,33.72,7/13/12,2012,100,3,300,,1DIC2012,
COF,1049,WB,RT,3,O,37.75,7/18/12,2012,100,3,300,,1DIC2012,
LL,1001,EB,HW,1,O,17.04,7/16/12,2012,100,3,300,,1DIC2012,
LL,1002,EB,HW,2,O,22.23,7/16/12,2012,100,3,300,,1DIC2012,
LL,1003,EB,HW,3,O,16.24,7/16/12,2012,100,3,300,,1DIC2012,
LL,1004,EB,HW,4,O,12.24,7/16/12,2012,100,3,300,,1DIC2012,
LL,1005,EB,HW,5,O,18.77,7/16/12,2012,100,3,300,,1DIC2012,
LL,1011,EB,SW,1,O,28.85,7/16/12,2012,100,3,150,,1DIC2012,
LL,1012,EB,SW,2,O,66.22,7/23/12,2012,100,3,300,,1DIC2012,
LL,1013,EB,SW,3,O,19.64,7/23/12,2012,100,3,150,,1DIC2012,
LL,1014,EB,SW,4,O,55.65,7/23/12,2012,100,3,150,,1DIC2012,
LL,1015,EB,SW,5,O,47.19,7/25/12,2012,100,3,150,,1DIC2012,
LL,1021,WB,HW,1,O,14.17,7/16/12,2012,100,3,300,,1DIC2012,
LL,1022,WB,HW,2,O,28.13,7/16/12,2012,100,3,300,,1DIC2012,
LL,1023,WB,HW,3,O,19.25,7/25/12,2012,100,3,300,,1DIC2012,
LL,1024,WB,HW,4,O,20.99,7/16/12,2012,100,3,300,,1DIC2012,
LL,1025,WB,HW,5,O,22.24,7/16/12,2012,100,3,300,,1DIC2012,
LL,1031,WB,SW,1,O,25.94,7/16/12,2012,100,3,300,,1DIC2012,
LL,1032,WB,SW,2,O,45.3,7/16/12,2012,100,3,300,,1DIC2012,
LL,1033,WB,SW,3,O,18.24,7/16/12,2012,100,3,300,,1DIC2012,
LL,1034,WB,SW,4,O,54.79,7/16/12,2012,100,3,150,,1DIC2012,
LL,1035,WB,SW,5,O,40.99,7/16/12,2012,100,3,300,,1DIC2012,
LL,1041,EB,RT,1,O,15.45,7/16/12,2012,100,3,300,,1DIC2012,
LL,1042,EB,RT,2,O,14.5,7/16/12,2012,100,3,300,,1DIC2012,
LL,1043,EB,RT,3,O,21.68,7/16/12,2012,100,3,300,,1DIC2012,
LL,1047,WB,RT,1,O,23.63,7/16/12,2012,100,3,300,,1DIC2012,
LL,1048,WB,RT,2,O,10.32,7/16/12,2012,100,3,300,,1DIC2012,
LL,1049,WB,RT,3,O,23.33,7/16/12,2012,100,3,300,,1DIC2012,
,,,,,,,,,,,,,,
COF,1401,EB,HW,1,O,29.67,8/6/12,2012,100,3,300,,34DIC2012,
COF,1402,EB,HW,2,O,11.03,8/6/12,2012,100,3,300,,34DIC2012,
COF,1403,EB,HW,3,O,9.13,8/6/12,2012,100,3,300,,34DIC2012,
COF,1404,EB,HW,4,O,9.33,8/1/12,2012,100,3,300,,34DIC2012,
COF,1405,EB,HW,5,O,10.34,8/1/12,2012,100,3,300,,34DIC2012,
COF,1411,EB,SW,1,O,15.01,8/13/12,2012,100,3,300,,34DIC2012,
COF,1412,EB,SW,2,O,27.6,8/13/12,2012,100,3,150,,34DIC2012,
COF,1413,EB,SW,3,O,15.41,8/6/12,2012,100,3,300,,34DIC2012,
COF,1414,EB,SW,4,O,5.51,8/6/12,2012,100,3,150,,34DIC2012,
COF,1415,EB,SW,5,O,30.57,8/13/12,2012,100,3,300,,34DIC2012,
COF,1421,WB,HW,1,O,10.6,8/1/12,2012,100,3,300,,34DIC2012,
COF,1422,WB,HW,2,O,15.1,8/13/12,2012,100,3,300,,34DIC2012,
COF,1423,WB,HW,3,O,13.92,8/1/12,2012,100,3,300,,34DIC2012,
COF,1424,WB,HW,4,O,10.32,8/1/12,2012,100,3,300,,34DIC2012,
COF,1425,WB,HW,5,O,11.35,8/6/12,2012,100,3,300,,34DIC2012,
COF,1431,WB,SW,1,O,21.14,8/13/12,2012,100,3,300,,34DIC2012,
COF,1432,WB,SW,2,O,33.4,8/13/12,2012,100,3,300,,34DIC2012,
COF,1433,WB,SW,3,O,10.56,8/6/12,2012,100,3,300,,34DIC2012,
COF,1434,WB,SW,4,O,22.12,8/13/12,2012,100,3,300,,34DIC2012,
COF,1435,WB,SW,5,O,30.13,8/13/12,2012,100,3,300,,34DIC2012,
COF,1441,EB,RT,1,O,7.75,8/6/12,2012,100,3,300,,34DIC2012,
COF,1442,EB,RT,2,O,4.69,8/1/12,2012,100,3,300,,34DIC2012,
COF,1443,EB,RT,3,O,3.83,8/1/12,2012,100,3,300,,34DIC2012,
COF,1447,WB,RT,1,O,18.3,8/6/12,2012,100,3,300,,34DIC2012,
COF,1448,WB,RT,2,O,12.12,8/6/12,2012,100,3,300,,34DIC2012,
COF,1449,WB,RT,3,O,7.33,8/1/12,2012,100,3,300,,34DIC2012,
,,,,,,,,,,,,,,
LL,1403,EB,HW,3,O,13.31,8/1/12,2012,100,3,300,,34DIC2012,
LL,1404,EB,HW,4,O,14.67,8/1/12,2012,100,3,300,,34DIC2012,
LL,1405,EB,HW,5,O,23.44,8/8/12,2012,100,3,300,,34DIC2012,
LL,1411,EB,SW,1,O,26.23,8/1/12,2012,100,3,300,,34DIC2012,
LL,1412,EB,SW,2,O,20.65,8/1/12,2012,100,3,150,,34DIC2012,
LL,1413,EB,SW,3,O,29.17,8/1/12,2012,100,3,300,,34DIC2012,
LL,1414,EB,SW,4,O,25.74,8/1/12,2012,100,3,150,,34DIC2012,
LL,1415,EB,SW,5,O,15.49,8/1/12,2012,100,3,300,,34DIC2012,
LL,1421,WB,HW,1,O,6.17,8/1/12,2012,100,3,300,,34DIC2012,
LL,1422,WB,HW,2,O,4.97,8/1/12,2012,100,3,300,,34DIC2012,
LL,1423,WB,HW,3,O,7.69,8/1/12,2012,100,3,300,,34DIC2012,
LL,1424,WB,HW,4,O,10.44,8/1/12,2012,100,3,300,,34DIC2012,
LL,1425,WB,HW,5,O,16.97,8/8/12,2012,100,3,300,,34DIC2012,
LL,1431,WB,SW,1,O,30.32,8/8/12,2012,100,3,300,,34DIC2012,
LL,1432,WB,SW,2,O,30.67,8/8/12,2012,100,3,300,,34DIC2012,
LL,1433,WB,SW,3,O,27.28,8/13/12,2012,100,3,300,,34DIC2012,
LL,1434,WB,SW,4,O,30.65,8/8/12,2012,100,3,300,,34DIC2012,
LL,1435,WB,SW,5,O,62.16,8/8/12,2012,100,3,300,,34DIC2012,
LL,1441,EB,RT,1,O,3.64,8/8/12,2012,100,3,300,,34DIC2012,
LL,1442,EB,RT,2,O,17.71,8/8/12,2012,100,3,300,,34DIC2012,
LL,1443,EB,RT,3,O,15.84,8/8/12,2012,100,3,300,,34DIC2012,
LL,1447,WB,RT,1,O,17.3,8/8/12,2012,100,3,300,,34DIC2012,
LL,1448,WB,RT,2,O,5.66,8/8/12,2012,100,3,300,,34DIC2012,
LL,1449,WB,RT,3,O,15.37,8/8/12,2012,100,3,300,,34DIC2012,
,,,,,,,,,,,,,,
LL,1401,EB,HW,1,,13.63,8/1/12,2012,100,3,300,,34DIC2012,
LL,1402,EB,HW,2,,11.32,8/1/12,2012,100,3,300,,34DIC2012,
,,,,,,,,,,,,,,
COF,1601,EB,HW,1,O,1.17,8/15/12,2012,100,3,150,,62DIC2012,
COF,1602,EB,HW,2,O,1.78,8/15/12,2012,100,3,300,,62DIC2012,
COF,1603,EB,HW,3,O,6.65,8/24/12,2012,100,3,300,,62DIC2012,
COF,1604,EB,HW,4,O,7.16,8/24/12,2012,100,3,300,,62DIC2012,
COF,1605,EB,HW,5,O,13.37,8/24/12,2012,100,3,300,,62DIC2012,
COF,1611,EB,SW,1,O,7.03,8/24/12,2012,100,3,300,,62DIC2012,
COF,1612,EB,SW,2,O,12.86,8/24/12,2012,100,3,300,,62DIC2012,
COF,1613,EB,SW,3,O,3.54,8/15/12,2012,100,3,150,,62DIC2012,
COF,1614,EB,SW,4,O,9.06,8/15/12,2012,100,3,150,,62DIC2012,
COF,1615,EB,SW,5,O,17.81,8/24/12,2012,100,3,300,,62DIC2012,
COF,1621,WB,HW,1,O,9.63,8/24/12,2012,100,3,300,,62DIC2012,
COF,1622,WB,HW,2,O,1.93,8/15/12,2012,100,3,300,,62DIC2012,
COF,1623,WB,HW,3,O,3.69,8/24/12,2012,100,3,300,,62DIC2012,
COF,1624,WB,HW,4,O,3.06,8/15/12,2012,100,3,300,,62DIC2012,
COF,1625,WB,HW,5,O,3.66,8/15/12,2012,100,3,300,,62DIC2012,
COF,1631,WB,SW,1,O,6.49,8/24/12,2012,100,3,300,,62DIC2012,
COF,1632,WB,SW,2,O,13.28,8/15/12,2012,100,3,300,,62DIC2012,
COF,1633,WB,SW,3,O,10.54,8/24/12,2012,100,3,300,,62DIC2012,
COF,1634,WB,SW,4,O,7.29,8/15/12,2012,100,3,300,,62DIC2012,
COF,1635,WB,SW,5,O,1.04,8/15/12,2012,100,3,150,,62DIC2012,
COF,1641,EB,RT,1,O,16.56,8/15/12,2012,100,3,300,,62DIC2012,
COF,1642,EB,RT,2,O,3.82,8/15/12,2012,100,3,300,,62DIC2012,
COF,1643,EB,RT,3,O,9.92,8/24/12,2012,100,3,300,,62DIC2012,
COF,1647,WB,RT,1,O,5.61,8/15/12,2012,100,3,300,,62DIC2012,
COF,1648,WB,RT,2,O,16.31,8/15/12,2012,100,3,300,,62DIC2012,
COF,1649,WB,RT,3,O,13.31,8/24/12,2012,100,3,300,,62DIC2012,
,,,,,,,,,,,,,,
LL,1601,EB,HW,1,O,17.67,8/15/12,2012,100,3,150,,62DIC2012,
LL,1602,EB,HW,2,O,14.68,8/15/12,2012,100,3,300,,62DIC2012,
LL,1603,EB,HW,3,O,13.19,8/20/12,2012,100,3,300,,62DIC2012,
LL,1604,EB,HW,4,O,8.65,8/20/12,2012,100,3,300,,62DIC2012,
LL,1605,EB,HW,5,O,9.63,8/20/12,2012,100,3,300,,62DIC2012,
LL,1611,EB,SW,1,O,25.35,8/20/12,2012,100,3,300,,62DIC2012,
LL,1612,EB,SW,2,O,39.45,8/20/12,2012,100,3,300,,62DIC2012,
LL,1613,EB,SW,3,O,33.79,8/15/12,2012,100,3,150,,62DIC2012,
LL,1614,EB,SW,4,O,47.13,8/15/12,2012,100,3,150,,62DIC2012,
LL,1615,EB,SW,5,O,28.63,8/20/12,2012,100,3,300,,62DIC2012,
LL,1621,WB,HW,1,O,12.33,8/20/12,2012,100,3,300,,62DIC2012,
LL,1622,WB,HW,2,O,23.83,8/15/12,2012,100,3,300,,62DIC2012,
LL,1623,WB,HW,3,O,15.54,8/20/12,2012,100,3,300,,62DIC2012,
LL,1624,WB,HW,4,O,17.05,8/15/12,2012,100,3,300,,62DIC2012,
LL,1625,WB,HW,5,O,29.38,8/15/12,2012,100,3,300,,62DIC2012,
LL,1631,WB,SW,1,O,14.84,8/20/12,2012,100,3,300,,62DIC2012,
LL,1632,WB,SW,2,O,54,8/15/12,2012,100,3,300,,62DIC2012,
LL,1633,WB,SW,3,O,19.13,8/20/12,2012,100,3,300,,62DIC2012,
LL,1634,WB,SW,4,O,46.08,8/15/12,2012,100,3,300,,62DIC2012,
LL,1635,WB,SW,5,O,33.03,8/15/12,2012,100,3,150,,62DIC2012,
LL,1641,EB,RT,1,O,7.78,8/17/12,2012,100,3,300,,62DIC2012,
LL,1642,EB,RT,2,O,3.69,8/17/12,2012,100,3,300,,62DIC2012,
LL,1643,EB,RT,3,O,5,8/20/12,2012,100,3,300,,62DIC2012,
LL,1647,WB,RT,1,O,22.26,8/17/12,2012,100,3,300,,62DIC2012,
LL,1648,WB,RT,2,O,16.38,8/17/12,2012,100,3,300,,62DIC2012,
LL,1649,WB,RT,3,O,20.84,8/20/12,2012,100,3,300,,62DIC2012,
,,,,,,,,,,,,,,
COF,2001,EB,HW,1,O,,,2013,,,,no sample taken,,
COF,2002,EB,HW,2,O,57.67,7/29/13,2013,100,3,300,,406DIC2013,
COF,2003,EB,HW,3,O,19.06,7/29/13,2013,100,3,300,,406DIC2013,
COF,2004,EB,HW,4,O,22.34,7/29/13,2013,100,3,300,,406DIC2013,
COF,2005,EB,HW,5,O,14.86,7/29/13,2013,100,3,300,,406DIC2013,
COF,2011,EB,SW,1,O,22.83,7/29/13,2013,100,3,300,,406DIC2013,
COF,2012,EB,SW,2,O,47.03,7/29/13,2013,100,3,300,,406DIC2013,
COF,2013,EB,SW,3,O,,,2013,,,,no sample taken,406DIC2013,
COF,2014,EB,SW,4,O,89.76,7/29/13,2013,100,3,300,,406DIC2013,
COF,2015,EB,SW,5,O,40.27,7/29/13,2013,100,3,300,,406DIC2013,
COF,2021,WB,HW,1,O,,,2013,,,,no sample taken,406DIC2013,
COF,2022,WB,HW,2,O,30.43,7/29/13,2013,100,3,300,,406DIC2013,
COF,2023,WB,HW,3,O,38.67,7/29/13,2013,100,3,300,,406DIC2013,
COF,2024,WB,HW,4,O,15.59,7/29/13,2013,100,3,300,,406DIC2013,
COF,2025,WB,HW,5,O,27.64,7/29/13,2013,100,3,300,,406DIC2013,
COF,2031,WB,SW,1,O,,,2013,,,,no sample taken,406DIC2013,
COF,2032,WB,SW,2,O,11.76,7/29/13,2013,100,3,300,,406DIC2013,
COF,2033,WB,SW,3,O,39.09,7/29/13,2013,100,3,300,,406DIC2013,
COF,2034,WB,SW,4,O,19.88,7/29/13,2013,100,3,300,,406DIC2013,
COF,2035,WB,SW,5,O,27.86,7/29/13,2013,100,3,300,,406DIC2013,
COF,2041,EB,RT,1,O,13.29,7/29/13,2013,100,3,300,,406DIC2013,
COF,2042,EB,RT,2,O,47.09,7/29/13,2013,100,3,300,,406DIC2013,
COF,2043,EB,RT,3,O,46.46,7/29/13,2013,100,3,300,,406DIC2013,
COF,2047,WB,RT,1,O,23.62,7/29/13,2013,100,3,300,,406DIC2013,
COF,2048,WB,RT,2,O,22.49,7/29/13,2013,100,3,300,,406DIC2013,
COF,2049,WB,RT,3,O,19.38,7/29/13,2013,100,3,300,,406DIC2013,
,,,,,,,,,,,,,,
LL,2001,EB,HW,1,O,,,2013,,,,no sample taken,406DIC2013,
LL,2002,EB,HW,2,O,25.22,7/29/13,2013,100,3,300,,406DIC2013,
LL,2003,EB,HW,3,O,22.22,7/29/13,2013,100,3,300,,406DIC2013,
LL,2004,EB,HW,4,O,20.03,7/29/13,2013,100,3,300,,406DIC2013,
LL,2005,EB,HW,5,O,14,7/29/13,2013,100,3,300,,406DIC2013,
LL,2011,EB,SW,1,O,18.38,7/29/13,2013,100,3,300,,406DIC2013,
LL,2012,EB,SW,2,O,12.01,7/29/13,2013,100,3,300,,406DIC2013,
LL,2013,EB,SW,3,O,,,2013,,,,no sample taken,406DIC2013,
LL,2014,EB,SW,4,O,20.11,7/29/13,2013,100,3,300,,406DIC2013,
LL,2015,EB,SW,5,O,15.94,7/29/13,2013,100,3,300,,406DIC2013,
LL,2021,WB,HW,1,O,,,2013,,,,no sample taken,406DIC2013,
LL,2022,WB,HW,2,O,30.53,7/29/13,2013,100,3,300,,406DIC2013,
LL,2023,WB,HW,3,O,15.88,7/29/13,2013,100,3,300,,406DIC2013,
LL,2024,WB,HW,4,O,29.11,7/29/13,2013,100,3,300,,406DIC2013,
LL,2025,WB,HW,5,O,23.84,7/29/13,2013,100,3,300,,406DIC2013,
LL,2031,WB,SW,1,O,,,2013,,,,no sample taken,406DIC2013,
LL,2032,WB,SW,2,O,23.43,7/29/13,2013,100,3,300,,406DIC2013,
LL,2033,WB,SW,3,O,11.45,7/29/13,2013,100,3,300,,406DIC2013,
LL,2034,WB,SW,4,O,22.4,7/29/13,2013,100,3,300,,406DIC2013,
LL,2035,WB,SW,5,O,20.5,7/29/13,2013,100,3,300,,406DIC2013,
LL,2041,EB,RT,1,O,13.94,7/29/13,2013,100,3,300,,406DIC2013,
LL,2042,EB,RT,2,O,11.38,7/29/13,2013,100,3,300,,406DIC2013,
LL,2043,EB,RT,3,O,12.72,7/29/13,2013,100,3,300,,406DIC2013,
LL,2047,WB,RT,1,O,14.6,7/29/13,2013,100,3,300,,406DIC2013,
LL,2048,WB,RT,2,O,10.9,7/29/13,2013,100,3,300,,406DIC2013,
LL,2049,WB,RT,3,O,20.5,7/29/13,2013,100,3,300,,406DIC2013,
,,,,,,,,,,,,,,
COF,2001,EB,HW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
COF,2002,EB,HW,2,O,11.142,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2003,EB,HW,3,O,21.896,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2004,EB,HW,4,O,24.465,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2005,EB,HW,5,O,10.514,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2011,EB,SW,1,O,9.315,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2012,EB,SW,2,O,40.611,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2013,EB,SW,3,O,,,2013,,,,no sample taken,468DIC2013,skip
COF,2014,EB,SW,4,O,37.665,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2015,EB,SW,5,O,21.7,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2021,WB,HW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
COF,2022,WB,HW,2,O,19.243,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2023,WB,HW,3,O,21.981,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2024,WB,HW,4,O,15.641,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2025,WB,HW,5,O,26.853,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2031,WB,SW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
COF,2032,WB,SW,2,O,10.474,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2033,WB,SW,3,O,6.993,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2034,WB,SW,4,O,24.869,9/19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2035,WB,SW,5,O,25.835,9.19 11:25 RU,2013,100,3,300,,468DIC2013,skip
COF,2041,EB,RT,1,O,1.74,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2042,EB,RT,2,O,0.571,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2043,EB,RT,3,O,7.32,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2047,WB,RT,1,O,32.329,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2048,WB,RT,2,O,24.538,9/25 3:00 SP,2013,100,3,300,,468DIC2013,skip
COF,2049,WB,RT,3,O,1.943,9/25 3.00 SP,2013,100,3,300,,468DIC2013,skip
,,,,,,,,,,,,,,skip
LL,2001,EB,HW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
LL,2002,EB,HW,2,O,14.538,9/16 11:05 CT,2013,100,3,300,,468DIC2013,skip
LL,2003,EB,HW,3,O,18.015,9/16 11:05 CT,2013,100,3,300,,468DIC2013,skip
LL,2004,EB,HW,4,O,22.315,,2013,100,3,300,,468DIC2013,skip
LL,2005,EB,HW,5,O,14.215,,2013,100,3,300,,468DIC2013,skip
LL,2011,EB,SW,1,O,26.225,9/16/13 11:05,2013,100,3,300,,468DIC2013,skip
LL,2012,EB,SW,2,O,50.063,9/16/13 11:05,2013,100,3,300,,468DIC2013,skip
LL,2013,EB,SW,3,O,,,2013,,,,no sample taken,468DIC2013,skip
LL,2014,EB,SW,4,O,36.725,,2013,100,3,300,,468DIC2013,skip
LL,2015,EB,SW,5,O,42.463,,2013,100,3,300,,468DIC2013,skip
LL,2021,WB,HW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
LL,2022,WB,HW,2,O,13.363,9/16/13 10:55,2013,100,3,300,,468DIC2013,skip
LL,2023,WB,HW,3,O,8.304,,2013,100,3,300,,468DIC2013,skip
LL,2024,WB,HW,4,O,10.113,,2013,100,3,300,,468DIC2013,skip
LL,2025,WB,HW,5,O,10.51,9/16/13 10:55,2013,100,3,300,,468DIC2013,skip
LL,2031,WB,SW,1,O,,,2013,,,,no sample taken,468DIC2013,skip
LL,2032,WB,SW,2,O,100.031,,2013,100,3,300,,468DIC2013,skip
LL,2033,WB,SW,3,O,33.061,,2013,100,3,300,,468DIC2013,skip
LL,2034,WB,SW,4,O,76.464,9/16 10:55 CT,2013,100,3,300,,468DIC2013,skip
LL,2035,WB,SW,5,O,84.962,9/16 10:55 CT,2013,100,3,300,,468DIC2013,skip
LL,2041,EB,RT,1,O,10.528,,2013,100,3,300,,468DIC2013,skip
LL,2042,EB,RT,2,O,2.51,,2013,100,3,300,,468DIC2013,skip
LL,2043,EB,RT,3,O,10.908,9/27 12:50 LW,2013,100,3,300,,468DIC2013,skip
LL,2047,WB,RT,1,O,7.959,,2013,100,3,300,,468DIC2013,skip
LL,2048,WB,RT,2,O,35.356,,2013,100,3,300,,468DIC2013,skip
LL,2049,WB,RT,3,O,34.954,,2013,100,3,300,,468DIC2013,skip
