sample_ID,material,watershed,forest,Plot,Chase,Trmt,species,year,amount_mg,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,[C] mg/g,[N] mg/g,lf_type,source_file,year
13-031,Litterfall,EB,HW,4,468,no P,AB,2013,4.44,-31.39,2108.36,,3.13,43,,BBWM LF2013,A1,"13C,15N",Yes,,742035,4570,475,9.69,non-woody,Spencer BBWM-LF-2013 0814,2013
13-027,Litterfall,EB,HW,3,468,no P,woody,2013,4.4,-28.96,2254.84,,-0.87,24.3,,BBWM LF2013,A2,"13C,15N",Yes,,742036,4571,512,5.52,woody,Spencer BBWM-LF-2013 0814,2013
13-024,Litterfall,EB,HW,3,468,no P,SM,2013,4.46,-28.74,2198.54,,2.85,39.46,,BBWM LF2013,A3,"13C,15N",Yes,,742037,4572,493,8.85,non-woody,Spencer BBWM-LF-2013 0814,2013
13-023,Litterfall,EB,HW,3,468,no P,RM,2013,4.46,-27.43,2311.09,,4.09,35.51,,BBWM LF2013,A4,"13C,15N",Yes,,742038,4573,518,7.96,non-woody,Spencer BBWM-LF-2013 0814,2013
13-022,Litterfall,EB,HW,3,468,no P,YB,2013,4.42,-29.86,2204.18,,8.11,44.61,,BBWM LF2013,A5,"13C,15N",Yes,,742039,4574,499,10.09,non-woody,Spencer BBWM-LF-2013 0814,2013
13-021,Litterfall,EB,HW,3,468,no P,AB,2013,4.4,-30.55,2080.14,,59.43,52.23,,BBWM LF2013,A6,"13C,15N",Yes,,742040,4575,473,11.87,non-woody,Spencer BBWM-LF-2013 0814,2013
13-017,Litterfall,EB,HW,2,468,no P,woody,2013,4.6,-29.27,2372.9,,-0.57,27.66,,BBWM LF2013,A7,"13C,15N",Yes,,742041,4576,516,6.01,woody,Spencer BBWM-LF-2013 0814,2013
13-012,Litterfall,EB,HW,2,468,no P,YB,2013,4.58,-30.1,2232.33,,5.27,45.01,,BBWM LF2013,A8,"13C,15N",Yes,,742042,4577,487,9.83,non-woody,Spencer BBWM-LF-2013 0814,2013
13-011,Litterfall,EB,HW,2,468,no P,AB,2013,4.4,-30.56,2176.01,,4.45,36.8,,BBWM LF2013,A9,"13C,15N",Yes,,742043,4578,495,8.36,non-woody,Spencer BBWM-LF-2013 0814,2013
13-032,Litterfall,EB,HW,4,468,no P,YB,2013,4.58,-30.33,2237.96,,3.67,54.23,,BBWM LF2013,A10,"13C,15N",Yes,,742044,4579,489,11.84,non-woody,Spencer BBWM-LF-2013 0814,2013
13-037,Litterfall,EB,HW,4,468,no P,woody,2013,4.44,-29.52,2221.07,,-2.12,18.77,,BBWM LF2013,A11,"13C,15N",Yes,,742045,4580,500,4.23,woody,Spencer BBWM-LF-2013 0814,2013
13-041,Litterfall,EB,HW,5,468,no P,AB,2013,4.64,-30.48,2204.18,,1.81,45.42,,BBWM LF2013,A12,"13C,15N",Yes,,742046,4581,475,9.79,non-woody,Spencer BBWM-LF-2013 0814,2013
13-042,Litterfall,EB,HW,5,468,no P,YB,2013,4.42,-30.72,2130.92,,5.03,44.61,,BBWM LF2013,B1,"13C,15N",Yes,,742047,4586,482,10.09,non-woody,Spencer BBWM-LF-2013 0814,2013
13-043,Litterfall,EB,HW,5,468,no P,RM,2013,4.46,-28.34,2266.1,,0.93,34.78,,BBWM LF2013,B2,"13C,15N",Yes,,742048,4587,508,7.8,non-woody,Spencer BBWM-LF-2013 0814,2013
13-044,Litterfall,EB,HW,5,468,no P,SM,2013,4.41,-28.24,2215.44,,-0.37,35.39,,BBWM LF2013,B3,"13C,15N",Yes,,742049,4588,502,8.02,non-woody,Spencer BBWM-LF-2013 0814,2013
13-047,Litterfall,EB,HW,5,468,no P,woody,2013,4.47,-29.37,2299.85,,-2.13,28.47,,BBWM LF2013,B4,"13C,15N",Yes,,742050,4589,515,6.37,woody,Spencer BBWM-LF-2013 0814,2013
13-055,Litterfall,EB,SW,1,468,no P,RS,2013,4.53,-27.94,2350.43,,-2.2,39.87,,BBWM LF2013,B5,"13C,15N",Yes,,742051,4590,519,8.8,non-woody,Spencer BBWM-LF-2013 0814,2013
13-057,Litterfall,EB,SW,1,468,no P,woody,2013,4.61,-25.86,2479.52,,6.29,31.27,,BBWM LF2013,B6,"13C,15N",Yes,,742052,4591,538,6.78,woody,Spencer BBWM-LF-2013 0814,2013
13-065,Litterfall,EB,SW,2,468,no P,RS,2013,4.53,-28.03,2378.52,,-1.89,38.58,,BBWM LF2013,B7,"13C,15N",Yes,,742053,4592,525,8.52,non-woody,Spencer BBWM-LF-2013 0814,2013
13-067,Litterfall,EB,SW,2,468,no P,woody,2013,4.52,-28.07,2400.98,,-2.62,32,,BBWM LF2013,B8,"13C,15N",Yes,,742054,4593,531,7.08,woody,Spencer BBWM-LF-2013 0814,2013
13-085,Litterfall,EB,SW,4,468,no P,RS,2013,4.43,-27.77,2367.29,,-2.27,41.4,,BBWM LF2013,B9,"13C,15N",Yes,,742055,4594,534,9.34,non-woody,Spencer BBWM-LF-2013 0814,2013
13-087,Litterfall,EB,SW,4,468,no P,woody,2013,4.51,-26.29,2412.21,,-3.09,27.26,,BBWM LF2013,B10,"13C,15N",Yes,,742056,4595,535,6.04,woody,Spencer BBWM-LF-2013 0814,2013
13-095,Litterfall,EB,SW,5,468,no P,RS,2013,4.57,-28,2457.09,,-2.27,43,,BBWM LF2013,B11,"13C,15N",Yes,,742057,4596,538,9.41,non-woody,Spencer BBWM-LF-2013 0814,2013
